Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
ERR2713020_1	(1, 0.06632684454276386)	(2, 0.008236350308451318)	(3, 0.000205908757711283)	(4, 7.267367919221751e-05)	(5, 7.267367919221751e-05)	(6, 0.0010658806281525237)	(7, 7.267367919221751e-05)	(8, 8.47859590575871e-05)	(9, 8.47859590575871e-05)	(10, 9.68982389229567e-05)	(11, 9.68982389229567e-05)	(12, 9.68982389229567e-05)	(13, 0.00010901051878832629)	(14, 0.00010901051878832629)	(15, 0.00012112279865369588)	(16, 0.00012112279865369588)	(17, 0.00013323507851906546)	(18, 0.00013323507851906546)	(19, 0.0001695719181151742)	(20, 0.00023013331744202217)	(21, 0.00014534735838443502)	(22, 0.00021802103757665258)	(23, 0.00293117172741944)	(24, 0.0010779929080178931)	(25, 0.00021802103757665258)	(26, 0.00014534735838443502)	(27, 0.0001937964778459134)	(28, 0.0001574596382498046)	(29, 0.000351256116095718)	(30, 0.00043604207515330517)	(31, 0.0010295437885564148)	(32, 0.0009326455496334582)	(33, 0.0026283647307852004)	(34, 0.0026647015703813092)	(35, 0.0023982314133431785)	(36, 0.0009447578294988278)	(37, 0.0011506665872101109)	(38, 0.0021559858160357863)	(39, 0.0007267367919221752)	(40, 0.000968982389229567)	(41, 0.0010901051878832628)	(42, 0.0009326455496334582)	(43, 0.0011748911469408499)	(44, 0.0013323507851906546)	(45, 0.0016836069012863724)	(46, 0.0020590875771128296)	(47, 0.0025678033314583525)	(48, 0.004844911946147834)	(49, 0.0037426944783992026)	(50, 0.004917585625340052)	(51, 0.00555953645820464)	(52, 0.007194694240029535)	(53, 0.009701936172161038)	(54, 0.011700462349947021)	(55, 0.010937388718428736)	(56, 0.013347732411637286)	(57, 0.016690721654479292)	(58, 0.017926174200746988)	(59, 0.021705205518742297)	(60, 0.02458792812670026)	(61, 0.02879088923998351)	(62, 0.034725906374014605)	(63, 0.03960715515975855)	(64, 0.04568751965217408)	(65, 0.052276599898935135)	(66, 0.060089020412098515)	(67, 0.08166099085232176)	(68, 0.3929344711124548)	(69, 1.3922217845651765)	(70, 5.438268312192561)	(71, 32.75740653801488)				
ERR2713020_2	(1, 0.013129711374060632)	(2, 0.03563432736391732)	(3, 0.04787984230780598)	(4, 0.06317765177776777)	(5, 0.08126128561676456)	(6, 0.10994316433795973)	(7, 0.13307761888081565)	(8, 0.1316241452969713)	(9, 0.13375590655327635)	(10, 0.15124603867887002)	(11, 0.1427432182133806)	(12, 0.14864189850781556)	(13, 0.14142297970805529)	(14, 0.14078102887519073)	(15, 0.15645431902097895)	(16, 0.14142297970805529)	(17, 0.16063305557453145)	(18, 0.16082685205237737)	(19, 0.14750334420047084)	(20, 0.1511370281600817)	(21, 0.15455269108211594)	(22, 0.14142297970805529)	(23, 0.15733851545115093)	(24, 0.14355474096436036)	(25, 0.14367586376301403)	(26, 0.14681294424814476)	(27, 0.13765606066992536)	(28, 0.15674501373774782)	(29, 0.1473579968420864)	(30, 0.14620733025487628)	(31, 0.1516578561942926)	(32, 0.15038606680842878)	(33, 0.13589978008944678)	(34, 0.14127763234967086)	(35, 0.1545284665223852)	(36, 0.1490658283031035)	(37, 0.14589241097837669)	(38, 0.14912638970243036)	(39, 0.1491506142621611)	(40, 0.1547222630002311)	(41, 0.14789093715616267)	(42, 0.15495239631767313)	(43, 0.14588029869851132)	(44, 0.1407931411550561)	(45, 0.150458740487621)	(46, 0.13603301516796584)	(47, 0.14239196209728489)	(48, 0.1459166355381074)	(49, 0.14470540755157046)	(50, 0.14310658660934167)	(51, 0.15223924562783034)	(52, 0.16040292225708944)	(53, 0.1587435399155338)	(54, 0.16393970797777735)	(55, 0.17465907565862943)	(56, 0.18967830269168773)	(57, 0.18348892768048386)	(58, 0.1965338530954869)	(59, 0.20211761411342227)	(60, 0.20015542477523243)	(61, 0.21194067308423706)	(62, 0.22062517774770704)	(63, 0.2179241393377296)	(64, 0.2373643485216478)	(65, 0.24847130915819168)	(66, 0.2721992654144507)	(67, 0.3346017312808348)	(68, 0.9812884655727824)	(69, 3.416583455303992)	(70, 9.98263825804098)	(71, 42.43751638185852)				
ERR2713021_1	(1, 0.0696009493444387)	(2, 0.008973782960758946)	(3, 0.00015637959583091998)	(4, 2.4058399358603074e-05)	(5, 2.4058399358603074e-05)	(6, 0.001323211964723169)	(7, 2.4058399358603074e-05)	(8, 2.4058399358603074e-05)	(9, 2.4058399358603074e-05)	(10, 3.608759903790461e-05)	(11, 3.608759903790461e-05)	(12, 6.014599839650768e-05)	(13, 8.420439775511076e-05)	(14, 8.420439775511076e-05)	(15, 0.00010826279711371384)	(16, 0.00012029199679301536)	(17, 0.0001323211964723169)	(18, 0.00014435039615161844)	(19, 0.00018043799518952306)	(20, 0.0001924671948688246)	(21, 0.00014435039615161844)	(22, 0.0001924671948688246)	(23, 0.0030193291195046855)	(24, 0.0011307447698543445)	(25, 0.00030072999198253844)	(26, 0.00014435039615161844)	(27, 0.00018043799518952306)	(28, 0.00018043799518952306)	(29, 0.00044508038813415685)	(30, 0.00039696358941695075)	(31, 0.0007818979791545999)	(32, 0.0009262483753062184)	(33, 0.0023697523368224026)	(34, 0.002935124721749575)	(35, 0.0022494603400293875)	(36, 0.0009382775749855198)	(37, 0.0009743651740234245)	(38, 0.0022975771387465935)	(39, 0.0007818979791545999)	(40, 0.0010224819727406307)	(41, 0.0014435039615161844)	(42, 0.0013111827650438674)	(43, 0.0016239419567057073)	(44, 0.002141197542915674)	(45, 0.0026103363304084332)	(46, 0.003235854713732113)	(47, 0.00383731469769719)	(48, 0.005966483040933563)	(49, 0.005882278643178452)	(50, 0.007301724205336033)	(51, 0.00869711136813501)	(52, 0.010802221312012781)	(53, 0.014134309623179306)	(54, 0.017177697142042595)	(55, 0.01860917190387948)	(56, 0.022061552211839017)	(57, 0.026608589690614998)	(58, 0.03007299919825384)	(59, 0.03548613905393953)	(60, 0.04056246131860478)	(61, 0.04708228754478621)	(62, 0.05687405608373766)	(63, 0.06540275865636246)	(64, 0.07550728638697575)	(65, 0.08663429609032967)	(66, 0.09977018214012694)	(67, 0.12825532698071299)	(68, 0.4503371483940116)	(69, 1.4294779146901189)	(70, 5.440710781350651)	(71, 32.738693905586416)				
ERR2713021_2	(1, 0.012462250867756392)	(2, 0.03484859147093655)	(3, 0.04681764515184158)	(4, 0.061914290749365004)	(5, 0.07978968147280709)	(6, 0.10754104513295575)	(7, 0.1300837653319668)	(8, 0.12902519576018828)	(9, 0.13114233490374536)	(10, 0.14832003204578795)	(11, 0.13946654108182202)	(12, 0.14592622130960695)	(13, 0.13892522709625343)	(14, 0.13850420510747788)	(15, 0.15357679230564272)	(16, 0.13945451188214272)	(17, 0.15834035537864613)	(18, 0.15790730419019128)	(19, 0.14468721374263888)	(20, 0.14945077681564228)	(21, 0.15155588675952006)	(22, 0.13956277467925643)	(23, 0.15477971227357287)	(24, 0.1409220742430175)	(25, 0.14145135902890676)	(26, 0.14463909694392166)	(27, 0.13577357678027643)	(28, 0.15457521587902476)	(29, 0.14463909694392166)	(30, 0.14430227935290124)	(31, 0.14908990082526324)	(32, 0.14757422166567125)	(33, 0.13386093403126748)	(34, 0.1395026286808599)	(35, 0.15132733196561332)	(36, 0.14678029448683735)	(37, 0.14305124258625387)	(38, 0.14692464488298898)	(39, 0.14579390011313462)	(40, 0.15221749274188165)	(41, 0.145649549716983)	(42, 0.15208517154540932)	(43, 0.14430227935290124)	(44, 0.13968306667604943)	(45, 0.1487771416336014)	(46, 0.13512399999759417)	(47, 0.14145135902890676)	(48, 0.14521649852852814)	(49, 0.14466315534328028)	(50, 0.1440857537586738)	(51, 0.15331214991269806)	(52, 0.1618889692840401)	(53, 0.16108301290552687)	(54, 0.16739834273716017)	(55, 0.17919898762255498)	(56, 0.19482491800596768)	(57, 0.19073499011500517)	(58, 0.20527829252728072)	(59, 0.21425207548803968)	(60, 0.2129048051239579)	(61, 0.2273879615378369)	(62, 0.23972992040880034)	(63, 0.24148618356197835)	(64, 0.264570217746558)	(65, 0.27997962253574327)	(66, 0.310966840909624)	(67, 0.3802790894617595)	(68, 1.0396957574817112)	(69, 3.4878183302147634)	(70, 10.115245747527549)	(71, 42.563554772855625)				
ERR2713022_1	(1, 0.06804779080827987)	(2, 0.008598808490609719)	(3, 9.28346395747338e-05)	(4, 1.1604329946841725e-05)	(5, 1.1604329946841725e-05)	(6, 0.0012300589743652229)	(7, 2.320865989368345e-05)	(8, 2.320865989368345e-05)	(9, 3.481298984052517e-05)	(10, 3.481298984052517e-05)	(11, 3.481298984052517e-05)	(12, 4.64173197873669e-05)	(13, 4.64173197873669e-05)	(14, 4.64173197873669e-05)	(15, 4.64173197873669e-05)	(16, 6.962597968105034e-05)	(17, 8.123030962789208e-05)	(18, 9.28346395747338e-05)	(19, 0.00013925195936210068)	(20, 0.00022048226898999278)	(21, 0.00010443896952157552)	(22, 0.0001856692791494676)	(23, 0.002657391557826755)	(24, 0.0011488286647373307)	(25, 0.00016246061925578417)	(26, 0.00012764762941525897)	(27, 0.00013925195936210068)	(28, 0.00015085628930894244)	(29, 0.00034812989840525175)	(30, 0.0004177558780863021)	(31, 0.0010675983551094387)	(32, 0.0009167420658004962)	(33, 0.002448513618783604)	(34, 0.0026341828979330713)	(35, 0.002402096298996237)	(36, 0.0009979723754283882)	(37, 0.0012416633043120645)	(38, 0.0023904919690493956)	(39, 0.001137224334790489)	(40, 0.0015665845428236328)	(41, 0.001984340420909935)	(42, 0.002239635679740453)	(43, 0.0028894781567635895)	(44, 0.003574133623627251)	(45, 0.0042123717707035465)	(46, 0.0053031787857066685)	(47, 0.006405590130656632)	(48, 0.009225442307739171)	(49, 0.009503946226463373)	(50, 0.012010481494981186)	(51, 0.014342951814296371)	(52, 0.017545746879624687)	(53, 0.02211785287868033)	(54, 0.026539102588427024)	(55, 0.02817531311093171)	(56, 0.03333923993727627)	(57, 0.040232211925700256)	(58, 0.04534972143225746)	(59, 0.05387890394318613)	(60, 0.06255894274342373)	(61, 0.07311888299504972)	(62, 0.08604610655583139)	(63, 0.09777808413208838)	(64, 0.11291013038276998)	(65, 0.12872683210031524)	(66, 0.14716611238584676)	(67, 0.1803544960338141)	(68, 0.5083972993010828)	(69, 1.5065901569984612)	(70, 5.6075371515524335)	(71, 32.767134866567034)				
ERR2713022_2	(1, 0.012880806240994316)	(2, 0.036286739743774075)	(3, 0.049039898355353134)	(4, 0.0646361178039084)	(5, 0.08301737643970569)	(6, 0.11096060295170057)	(7, 0.13231257005388936)	(8, 0.131384223658142)	(9, 0.13328733376942403)	(10, 0.14989312992335457)	(11, 0.1410390261739143)	(12, 0.14695723444680361)	(13, 0.1407837309150838)	(14, 0.13953046328082488)	(15, 0.15538197798821068)	(16, 0.14062127029582802)	(17, 0.15973360171827633)	(18, 0.15983804068779792)	(19, 0.14721252970563412)	(20, 0.15063580703995244)	(21, 0.15315394663841708)	(22, 0.14077212658513696)	(23, 0.15622909407433014)	(24, 0.1423387111279606)	(25, 0.14266363236647217)	(26, 0.14609851403073731)	(27, 0.13710515832193498)	(28, 0.15549802128767912)	(29, 0.1467599608377073)	(30, 0.14582001011201312)	(31, 0.1521559742629887)	(32, 0.15084468497899559)	(33, 0.13603755996682554)	(34, 0.14167726432099062)	(35, 0.15432598396304809)	(36, 0.14927810043617193)	(37, 0.14585482310185363)	(38, 0.1494057480655872)	(39, 0.14925489177627826)	(40, 0.15445363159246336)	(41, 0.1489299705377667)	(42, 0.15650759799305433)	(43, 0.14707327774627202)	(44, 0.14313940989429266)	(45, 0.15281742106995866)	(46, 0.13976254987976172)	(47, 0.14599407506121573)	(48, 0.1501832381720256)	(49, 0.1504269291009093)	(50, 0.15036890745117507)	(51, 0.16060392646428948)	(52, 0.17046760691910495)	(53, 0.1706764848581481)	(54, 0.17809165169417995)	(55, 0.19105368824480215)	(56, 0.20858783079448)	(57, 0.20576797861739746)	(58, 0.22219970982212534)	(59, 0.2333978882208276)	(60, 0.23663549627599645)	(61, 0.2557246190385511)	(62, 0.27040409642130586)	(63, 0.275161871699511)	(64, 0.30265252934357906)	(65, 0.3239116618061931)	(66, 0.35580036050011415)	(67, 0.4295922946320806)	(68, 1.0699656384185943)	(69, 3.469381337197111)	(70, 10.236481158687702)	(71, 42.48230310672282)				
ERR2713023_1	(1, 0.06672139601554301)	(2, 0.008144292136862512)	(3, 0.00015449876682395008)	(4, 1.1035626201710721e-05)	(5, 2.2071252403421442e-05)	(6, 0.0011587407511796256)	(7, 8.828500961368577e-05)	(8, 8.828500961368577e-05)	(9, 0.00012139188821881792)	(10, 0.00012139188821881792)	(11, 0.00012139188821881792)	(12, 0.00013242751442052865)	(13, 0.00013242751442052865)	(14, 0.00015449876682395008)	(15, 0.00015449876682395008)	(16, 0.00015449876682395008)	(17, 0.00018760564542908225)	(18, 0.00023174815023592515)	(19, 0.0002648550288410573)	(20, 0.00030899753364790016)	(21, 0.00023174815023592515)	(22, 0.00033106878605132164)	(23, 0.0029023696910499197)	(24, 0.0014567026586258152)	(25, 0.00032003315984961093)	(26, 0.0002538194026393466)	(27, 0.0002648550288410573)	(28, 0.0002648550288410573)	(29, 0.0004524606742701396)	(30, 0.0005628169362872468)	(31, 0.001026313236759097)	(32, 0.0010704557415659398)	(33, 0.00275890655042768)	(34, 0.0029465121958567623)	(35, 0.0028582271862430766)	(36, 0.0012139188821881793)	(37, 0.001611201425449765)	(38, 0.0025933721574020194)	(39, 0.00153395204203779)	(40, 0.0018870920804925334)	(41, 0.0023505883809643835)	(42, 0.002394730885771226)	(43, 0.0029023696910499197)	(44, 0.0035645072631525624)	(45, 0.004259751713860338)	(46, 0.005153637436198906)	(47, 0.006290306934975111)	(48, 0.009159569747419898)	(49, 0.008938857223385683)	(50, 0.011101839958920985)	(51, 0.012602685122353643)	(52, 0.015306413541772769)	(53, 0.01895920581453902)	(54, 0.022578891208700134)	(55, 0.02401352261492253)	(56, 0.027931169916529833)	(57, 0.033007557969316766)	(58, 0.03704659715914289)	(59, 0.04408732667583433)	(60, 0.05021209921778378)	(61, 0.05798118006378813)	(62, 0.06676553852034986)	(63, 0.07631135518482964)	(64, 0.08614409813055389)	(65, 0.09773150564235014)	(66, 0.11161432340410223)	(67, 0.14251407676889224)	(68, 0.478041255805705)	(69, 1.6231199017476126)	(70, 5.863139915959293)	(71, 33.84292176590766)				
ERR2713023_2	(1, 0.01241507947692456)	(2, 0.035987177043778656)	(3, 0.04921889285962981)	(4, 0.06378591944588796)	(5, 0.0819284889215004)	(6, 0.1102569413812918)	(7, 0.13353107704069972)	(8, 0.13140120118376955)	(9, 0.13377386081713735)	(10, 0.15055904826993938)	(11, 0.14198436671121012)	(12, 0.14745803730725865)	(13, 0.14120083725088867)	(14, 0.14041730779056721)	(15, 0.1559665051087776)	(16, 0.14117876599848525)	(17, 0.16012693618682255)	(18, 0.1604690405990756)	(19, 0.14764564295268773)	(20, 0.1513094708516557)	(21, 0.15339520420377903)	(22, 0.14184090357058787)	(23, 0.1566948564380905)	(24, 0.14281203867633843)	(25, 0.14398181505371976)	(26, 0.1465641515849201)	(27, 0.13755908060432415)	(28, 0.15610996824939988)	(29, 0.147292502914233)	(30, 0.1457585508721952)	(31, 0.15236889096701992)	(32, 0.1511218652062266)	(33, 0.1359920216836812)	(34, 0.14181883231818446)	(35, 0.15485190686240483)	(36, 0.149885875071635)	(37, 0.14623308279886876)	(38, 0.1499851957074504)	(39, 0.15007348071706408)	(40, 0.15509469063884246)	(41, 0.14938927189255802)	(42, 0.15670589206429225)	(43, 0.14693936287577825)	(44, 0.14303275120037265)	(45, 0.1531744916797448)	(46, 0.13920338890837902)	(47, 0.14594615651762427)	(48, 0.15054801264373766)	(49, 0.1501838369790812)	(50, 0.14951066378077685)	(51, 0.15910062295006347)	(52, 0.16846986959531587)	(53, 0.16824915707128166)	(54, 0.17463878464207216)	(55, 0.18678900909015567)	(56, 0.20417012035785004)	(57, 0.19934755170770246)	(58, 0.2150402121665351)	(59, 0.2242991025497704)	(60, 0.2260758383682458)	(61, 0.24134914503141347)	(62, 0.2532345144506559)	(63, 0.25450361146385264)	(64, 0.2777004977398486)	(65, 0.2931172675436384)	(66, 0.31196611709616034)	(67, 0.3736773388161267)	(68, 0.9831197958056013)	(69, 3.3625332324088535)	(70, 10.081805993470661)	(71, 42.81389266154033)				
ERR2713024_1	(1, 0.06755786170899435)	(2, 0.008625075194973745)	(3, 4.7045864699856796e-05)	(4, 0.0)	(5, 1.5681954899952263e-05)	(6, 0.0010036451135969448)	(7, 7.840977449976132e-05)	(8, 7.840977449976132e-05)	(9, 7.840977449976132e-05)	(10, 7.840977449976132e-05)	(11, 7.840977449976132e-05)	(12, 7.840977449976132e-05)	(13, 7.840977449976132e-05)	(14, 9.409172939971359e-05)	(15, 9.409172939971359e-05)	(16, 9.409172939971359e-05)	(17, 9.409172939971359e-05)	(18, 9.409172939971359e-05)	(19, 0.00014113759409957038)	(20, 0.00023522932349928397)	(21, 0.00015681954899952265)	(22, 0.00020386541369937943)	(23, 0.0028227518819914075)	(24, 0.0013486481213958947)	(25, 0.00023522932349928397)	(26, 0.00017250150389947492)	(27, 0.00020386541369937943)	(28, 0.0002195473685993317)	(29, 0.00040773082739875886)	(30, 0.00045477669209861567)	(31, 0.0011447827076965151)	(32, 0.0009565992488970881)	(33, 0.0026659323329918847)	(34, 0.0028227518819914075)	(35, 0.0029482075211910257)	(36, 0.0013486481213958947)	(37, 0.0017563789487946536)	(38, 0.002728660152591694)	(39, 0.0016779691742948922)	(40, 0.0022111556408932692)	(41, 0.002728660152591694)	(42, 0.0029482075211910257)	(43, 0.0036068496269890207)	(44, 0.0044223112817865385)	(45, 0.005143681207184342)	(46, 0.006100280456081431)	(47, 0.0068686962461790915)	(48, 0.009581674443870833)	(49, 0.009518946624271024)	(50, 0.011714420310264342)	(51, 0.013298297755159519)	(52, 0.016042639862651167)	(53, 0.019696535354340045)	(54, 0.02314656543232954)	(55, 0.023946345132227105)	(56, 0.02791387972191503)	(57, 0.032963469199699655)	(58, 0.036742820330588156)	(59, 0.042937192516069304)	(60, 0.04808087372325364)	(61, 0.05581207748893011)	(62, 0.06715013088159559)	(63, 0.0761202090843683)	(64, 0.08601552262623817)	(65, 0.09785539857570212)	(66, 0.11171824670725994)	(67, 0.14116895800937027)	(68, 0.4610024281938967)	(69, 1.7478793292388792)	(70, 6.399837158580318)	(71, 33.181918831455995)				
ERR2713024_2	(1, 0.011918285723963721)	(2, 0.034735530103394266)	(3, 0.04690472710575722)	(4, 0.062131905313610875)	(5, 0.07991524217015673)	(6, 0.10873867527626899)	(7, 0.13074045800090203)	(8, 0.1292663542403065)	(9, 0.13113250687340083)	(10, 0.14838265726334834)	(11, 0.13980462793307444)	(12, 0.1457324068852564)	(13, 0.1381109768038796)	(14, 0.13792279334508017)	(15, 0.15319701741763367)	(16, 0.13842461590187866)	(17, 0.15760364674452026)	(18, 0.15718023396222155)	(19, 0.1443210309442607)	(20, 0.14808470012024924)	(21, 0.15109563546104007)	(22, 0.13865984522537794)	(23, 0.15398111516263127)	(24, 0.1402123587604732)	(25, 0.14068281740747177)	(26, 0.14389761816196198)	(27, 0.13491185800428934)	(28, 0.15280496854513487)	(29, 0.14391330011686193)	(30, 0.14341147756006345)	(31, 0.14971562342984426)	(32, 0.1478024249320501)	(33, 0.13350048206329362)	(34, 0.13939689710567568)	(35, 0.15252269335693572)	(36, 0.14665764222435357)	(37, 0.1434271595149634)	(38, 0.1468144617733531)	(39, 0.14745742192425115)	(40, 0.15285201440983473)	(41, 0.1463440031263545)	(42, 0.15421634448613056)	(43, 0.1449012632755589)	(44, 0.14107486627997057)	(45, 0.1509858617767404)	(46, 0.13771892793138077)	(47, 0.14392898207176186)	(48, 0.14783378884185)	(49, 0.1481317459849491)	(50, 0.1474731038791511)	(51, 0.15631772644272415)	(52, 0.16591508284149495)	(53, 0.16578962720229531)	(54, 0.17196831743287652)	(55, 0.18358864601374117)	(56, 0.19966264978619222)	(57, 0.1957735249710041)	(58, 0.21187889265325502)	(59, 0.22100579040502727)	(60, 0.22044124002862897)	(61, 0.23635842425208053)	(62, 0.2468810159899485)	(63, 0.2487471686230428)	(64, 0.2721132814239717)	(65, 0.28890865512182057)	(66, 0.3047003837060725)	(67, 0.36670683338048377)	(68, 0.8821883728968145)	(69, 3.0740395273082424)	(70, 9.489966371615912)	(71, 40.180132343153794)				
