Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
ERR2713020_1	(1, 36.90491496937289)	(2, 36.88490717875448)	(3, 36.815003577967474)	(4, 36.79573487866645)	(5, 36.83666433141911)	(6, 38.80194423893943)	(7, 38.8320227846519)	(8, 38.76074928501212)	(9, 38.74093189943319)	(10, 38.75964161701843)	(11, 38.718304222679905)	(12, 38.725116532244584)	(13, 38.71997632291532)	(14, 38.72055020273534)	(15, 38.717559559713784)	(16, 38.704130675027045)	(17, 38.7022369200701)	(18, 38.70206262436283)	(19, 38.701024238609975)	(20, 38.6926368481716)	(21, 38.678759324638655)	(22, 38.673177622708295)	(23, 38.682369026284135)	(24, 38.639599354851526)	(25, 38.660405102467465)	(26, 38.61136938529211)	(27, 38.61903427823651)	(28, 38.637399401459575)	(29, 38.62949662333862)	(30, 38.600477054254775)	(31, 38.605663290247534)	(32, 38.62347451891235)	(33, 38.61119557407604)	(34, 38.60716678754722)	(35, 38.600851444825416)	(36, 38.604140534422854)	(37, 38.595694883918334)	(38, 38.59934273924539)	(39, 38.60169373276725)	(40, 38.595037913858434)	(41, 38.603224361573844)	(42, 38.581813968947024)	(43, 38.57585775532323)	(44, 38.57711670569243)	(45, 38.53779249339033)	(46, 38.548628381203486)	(47, 38.55372304836046)	(48, 38.550479622058106)	(49, 38.54474494203305)	(50, 38.54244748478819)	(51, 38.54042848885743)	(52, 38.53753983123234)	(53, 38.524561523356596)	(54, 38.518362216275904)	(55, 38.52108105973728)	(56, 38.52807105644759)	(57, 38.53810268887768)	(58, 38.52863330847894)	(59, 38.516908015955266)	(60, 38.511691862631245)	(61, 38.48569987902255)	(62, 38.508020993972444)	(63, 38.497625993146386)	(64, 38.47819995532991)	(65, 38.48779990610561)	(66, 38.47641872345291)	(67, 38.45996673483458)	(68, 38.46686455709511)	(69, 38.463624037739926)	(70, 38.4669639989128)	(71, 37.9157729015354)				
ERR2713020_2	(1, 35.971552857262594)	(2, 36.08783958593445)	(3, 35.95383683111751)	(4, 36.0688696965777)	(5, 36.17669187958843)	(6, 38.144973694550586)	(7, 38.189777381140985)	(8, 38.1260349337531)	(9, 38.13489167503625)	(10, 38.222603839786515)	(11, 38.127966357900426)	(12, 38.099412869345805)	(13, 38.12681266324325)	(14, 38.11785502666882)	(15, 38.11513436636546)	(16, 38.11281401691165)	(17, 38.11568232590657)	(18, 38.107967893737516)	(19, 38.10839497272557)	(20, 38.108674039653664)	(21, 38.11389879269639)	(22, 38.12761243708276)	(23, 38.10020428571221)	(24, 38.114755373128475)	(25, 38.10457645537521)	(26, 38.10975142694769)	(27, 38.11483482968439)	(28, 38.10850967601589)	(29, 38.097017302634036)	(30, 38.09358262343261)	(31, 38.10437854072221)	(32, 38.10149581811425)	(33, 38.0759680981928)	(34, 38.075949929773)	(35, 38.05032422150744)	(36, 38.07430944258804)	(37, 38.07023462939573)	(38, 38.05891303915997)	(39, 38.02883073864074)	(40, 38.0632917494541)	(41, 38.03102487813835)	(42, 38.04579229087301)	(43, 38.030291479592506)	(44, 38.030226073281234)	(45, 38.02832444534237)	(46, 38.022512004480575)	(47, 38.02215541896134)	(48, 38.01310282211276)	(49, 38.01652018075397)	(50, 38.00337702474926)	(51, 37.999523260664496)	(52, 37.999474327053846)	(53, 37.998923460565564)	(54, 37.995405812247064)	(55, 37.981364894058736)	(56, 37.98117315666846)	(57, 37.976947182223434)	(58, 37.976064923758045)	(59, 37.96623774661207)	(60, 37.95983701231722)	(61, 37.9487367134346)	(62, 37.911745568480164)	(63, 37.932905721404964)	(64, 37.92929105372475)	(65, 37.921783014804596)	(66, 37.892967779882085)	(67, 37.90888876615112)	(68, 37.90764374490376)	(69, 37.88023837935757)	(70, 37.89078817512031)	(71, 37.216177911949536)				
ERR2713021_1	(1, 36.90142118979611)	(2, 36.886455061015106)	(3, 36.807134398037796)	(4, 36.78503242771504)	(5, 36.83044217533641)	(6, 38.791208339122385)	(7, 38.81804897207481)	(8, 38.74663798905463)	(9, 38.728879883028064)	(10, 38.74617269961104)	(11, 38.70241395964565)	(12, 38.706505210748574)	(13, 38.700701723363295)	(14, 38.70153306135313)	(15, 38.70000583416184)	(16, 38.685165651101485)	(17, 38.68276498372148)	(18, 38.686463962622874)	(19, 38.68428198609304)	(20, 38.67617490696918)	(21, 38.65963475741014)	(22, 38.65664971150972)	(23, 38.662633636890185)	(24, 38.616455343701304)	(25, 38.6401612875093)	(26, 38.58851307664224)	(27, 38.59865056437997)	(28, 38.6149848943325)	(29, 38.60577004621017)	(30, 38.576348187590554)	(31, 38.580286547565564)	(32, 38.59966967817681)	(33, 38.58883173014175)	(34, 38.58499225018811)	(35, 38.575765372866094)	(36, 38.57693882129481)	(37, 38.570431986604284)	(38, 38.574562452898164)	(39, 38.578122735127245)	(40, 38.57303715037883)	(41, 38.58071478707414)	(42, 38.55683201403086)	(43, 38.549748980675695)	(44, 38.552158068495466)	(45, 38.51653275160124)	(46, 38.52517705478278)	(47, 38.530843649875706)	(48, 38.528268799684355)	(49, 38.522965245837746)	(50, 38.51988035757999)	(51, 38.51296368805639)	(52, 38.508815057670994)	(53, 38.501425159432)	(54, 38.49400145914192)	(55, 38.496176819611925)	(56, 38.50500709422051)	(57, 38.5147562793926)	(58, 38.50456766755622)	(59, 38.49126686117882)	(60, 38.49033303440772)	(61, 38.458389374367336)	(62, 38.485411287358936)	(63, 38.4739947348193)	(64, 38.454210550690746)	(65, 38.463765223704016)	(66, 38.45270762248281)	(67, 38.43672839450482)	(68, 38.44113420917936)	(69, 38.439070960850366)	(70, 38.44465587767748)	(71, 37.88207282357194)				
ERR2713021_2	(1, 35.940200803430244)	(2, 36.05013710280335)	(3, 36.06593541161816)	(4, 36.07672007029864)	(5, 36.181040417509465)	(6, 38.17402149978859)	(7, 38.202432304175154)	(8, 38.13995312220885)	(9, 38.13550532562743)	(10, 38.21554701883352)	(11, 38.13250813023533)	(12, 38.107679140345276)	(13, 38.12284002186909)	(14, 38.114798742467464)	(15, 38.100971778896096)	(16, 38.09957759465326)	(17, 38.10830922982448)	(18, 38.10106283993766)	(19, 38.1072429615649)	(20, 38.100170032737466)	(21, 38.10215100134065)	(22, 38.11583241159591)	(23, 38.09541067988435)	(24, 38.10785115790069)	(25, 38.09860250772726)	(26, 38.0986908020529)	(27, 38.10627942267059)	(28, 38.093945282779416)	(29, 38.09340986310169)	(30, 38.08494671966732)	(31, 38.09379070756354)	(32, 38.091125878958586)	(33, 38.07045273697373)	(34, 38.06626525227337)	(35, 38.04467103446907)	(36, 38.063206106502925)	(37, 38.0559379437647)	(38, 38.04577748025557)	(39, 38.01938156681529)	(40, 38.05252898886758)	(41, 38.01889462481227)	(42, 38.03703141004474)	(43, 38.024252189765434)	(44, 38.0255963325376)	(45, 38.02010007091213)	(46, 38.01613957720972)	(47, 38.01518181233125)	(48, 38.00620995404244)	(49, 38.006441636428264)	(50, 37.99367817440054)	(51, 37.99155971204502)	(52, 37.992500636043935)	(53, 37.99247320946866)	(54, 37.9836158691608)	(55, 37.97076820273532)	(56, 37.971022379724545)	(57, 37.96709568807323)	(58, 37.962373385155125)	(59, 37.95421746748056)	(60, 37.94666397212594)	(61, 37.93619820752895)	(62, 37.90218949477963)	(63, 37.92212115689625)	(64, 37.91998549278519)	(65, 37.91124074578632)	(66, 37.87944047380612)	(67, 37.89488283860242)	(68, 37.8948125880763)	(69, 37.8641861254008)	(70, 37.87383498704756)	(71, 37.19019319496145)				
ERR2713022_1	(1, 36.876770487125405)	(2, 36.85992482947147)	(3, 36.786994981011254)	(4, 36.76723129854889)	(5, 36.807289445525385)	(6, 38.771267516591)	(7, 38.798141172011796)	(8, 38.725972335509496)	(9, 38.70389753469492)	(10, 38.7234169460119)	(11, 38.681589834978304)	(12, 38.686129680940105)	(13, 38.68083822252765)	(14, 38.68165389087961)	(15, 38.67783038020543)	(16, 38.662870426167856)	(17, 38.66092472816567)	(18, 38.66202771972712)	(19, 38.66244199430622)	(20, 38.65223598611797)	(21, 38.6383683476583)	(22, 38.634373441030796)	(23, 38.64210273707849)	(24, 38.599050092759214)	(25, 38.62055268406411)	(26, 38.56959493809844)	(27, 38.57653606805614)	(28, 38.59353699164477)	(29, 38.585783906720685)	(30, 38.55455270936155)	(31, 38.56325792955777)	(32, 38.57873323188828)	(33, 38.569055800929114)	(34, 38.56476138654568)	(35, 38.55945890401978)	(36, 38.55989302200309)	(37, 38.55118838202336)	(38, 38.55762251880569)	(39, 38.554715634154)	(40, 38.549310917481264)	(41, 38.558281644746664)	(42, 38.53313018793328)	(43, 38.52825033510404)	(44, 38.531088406079135)	(45, 38.495023657167245)	(46, 38.502408884832015)	(47, 38.50796236901468)	(48, 38.504661865491194)	(49, 38.49583630839342)	(50, 38.49780335836271)	(51, 38.49314155089317)	(52, 38.49080733992436)	(53, 38.47826247903533)	(54, 38.47188044569446)	(55, 38.472404845364764)	(56, 38.48337964041199)	(57, 38.491827360526685)	(58, 38.48083121351236)	(59, 38.4687079379303)	(60, 38.46613340128829)	(61, 38.437810249013836)	(62, 38.46091145281221)	(63, 38.45027852132522)	(64, 38.429343265711424)	(65, 38.439207990555936)	(66, 38.428347498158686)	(67, 38.41098115422004)	(68, 38.4152456294322)	(69, 38.41255667409692)	(70, 38.4170576455534)	(71, 37.85115253624816)				
ERR2713022_2	(1, 35.99793988330454)	(2, 36.10345527047198)	(3, 36.06195087585421)	(4, 36.14759245546809)	(5, 36.13276363035892)	(6, 38.19193167184858)	(7, 38.2265933412266)	(8, 38.15899765511305)	(9, 38.163633352840215)	(10, 38.23942633762821)	(11, 38.14381652254669)	(12, 38.12317624900014)	(13, 38.14814099214468)	(14, 38.13980432546757)	(15, 38.12818839119078)	(16, 38.12586114281994)	(17, 38.13126968892157)	(18, 38.125284175534986)	(19, 38.126001439169)	(20, 38.125062532833)	(21, 38.12961874090003)	(22, 38.14583393530795)	(23, 38.121350423726305)	(24, 38.13319496330305)	(25, 38.1268746649975)	(26, 38.1231861126806)	(27, 38.13313659352342)	(28, 38.12485783245274)	(29, 38.11592006148438)	(30, 38.11226214459854)	(31, 38.12040896443772)	(32, 38.11726511936852)	(33, 38.09522350693759)	(34, 38.092783928652864)	(35, 38.06875403032885)	(36, 38.09058235517535)	(37, 38.088125254352406)	(38, 38.076771693975715)	(39, 38.04711752505636)	(40, 38.08255378345833)	(41, 38.0497929033256)	(42, 38.063283401062)	(43, 38.05202847748986)	(44, 38.047702731415576)	(45, 38.04665787754716)	(46, 38.04317785503941)	(47, 38.04060784408608)	(48, 38.02945283379478)	(49, 38.03352247230713)	(50, 38.02029121530175)	(51, 38.01847270075578)	(52, 38.019508271160234)	(53, 38.019340240462604)	(54, 38.01340787490718)	(55, 38.00400593074095)	(56, 37.998389435046676)	(57, 37.99535826802126)	(58, 37.99351550042571)	(59, 37.98496856328996)	(60, 37.97825302150642)	(61, 37.966985217128034)	(62, 37.930835756607536)	(63, 37.951513047966614)	(64, 37.95322828397606)	(65, 37.94079192357203)	(66, 37.912512287534874)	(67, 37.9238787287178)	(68, 37.92392073639221)	(69, 37.89546227763058)	(70, 37.91033415480385)	(71, 37.2256970227815)				
ERR2713023_1	(1, 36.89784431181339)	(2, 36.882285292787856)	(3, 36.8032536557443)	(4, 36.7832405476275)	(5, 36.822723148914406)	(6, 38.78289027685186)	(7, 38.811860782044064)	(8, 38.73650842277616)	(9, 38.712893286267125)	(10, 38.734984292441446)	(11, 38.68852121615691)	(12, 38.69242286180052)	(13, 38.6879715316158)	(14, 38.69468704122833)	(15, 38.69331884429184)	(16, 38.676795752961326)	(17, 38.67842836350161)	(18, 38.68022628772239)	(19, 38.67542921136877)	(20, 38.668074297574115)	(21, 38.65782771864583)	(22, 38.65280187376104)	(23, 38.65889629833094)	(24, 38.622558740155256)	(25, 38.638873368506815)	(26, 38.588735428697106)	(27, 38.59286849142217)	(28, 38.60417228334059)	(29, 38.59900253389013)	(30, 38.56665291995496)	(31, 38.57741751117716)	(32, 38.59524920706267)	(33, 38.580844073112786)	(34, 38.5748704886498)	(35, 38.57281620683236)	(36, 38.57290669896721)	(37, 38.56738921693514)	(38, 38.5765234047423)	(39, 38.569326300402324)	(40, 38.5631163328261)	(41, 38.570299973702106)	(42, 38.54649656941006)	(43, 38.54211774328948)	(44, 38.540877007835626)	(45, 38.50612648306401)	(46, 38.51706278862991)	(47, 38.518589126089864)	(48, 38.51280480261624)	(49, 38.508153175815956)	(50, 38.51027974098503)	(51, 38.50737803343155)	(52, 38.501181970744334)	(53, 38.491915576135284)	(54, 38.48598867237113)	(55, 38.48551038833155)	(56, 38.4922220354749)	(57, 38.50469681768958)	(58, 38.49415989143592)	(59, 38.47958845059919)	(60, 38.474075272461334)	(61, 38.443908836457645)	(62, 38.466870112114236)	(63, 38.45550507247041)	(64, 38.437478156357386)	(65, 38.44946163249356)	(66, 38.439122575017706)	(67, 38.41725614383659)	(68, 38.42257972991629)	(69, 38.41906322762711)	(70, 38.42411467516469)	(71, 37.863562028661505)				
ERR2713023_2	(1, 36.09107161558588)	(2, 36.1742511030936)	(3, 36.21160294567349)	(4, 36.22049920537974)	(5, 36.342614809964864)	(6, 38.295133586806955)	(7, 38.33134655276282)	(8, 38.27236609674647)	(9, 38.28312285267406)	(10, 38.3563152088255)	(11, 38.28035831795427)	(12, 38.2538221615459)	(13, 38.267293681519114)	(14, 38.26425822217607)	(15, 38.262387904247404)	(16, 38.264876989737196)	(17, 38.26357633083307)	(18, 38.25158810937762)	(19, 38.25766873941477)	(20, 38.25523538383729)	(21, 38.25462246515804)	(22, 38.270095185586676)	(23, 38.24931311503614)	(24, 38.26179639468299)	(25, 38.24666180584118)	(26, 38.25141672610271)	(27, 38.261940519961186)	(28, 38.25284595005209)	(29, 38.238019475893836)	(30, 38.23366823883876)	(31, 38.24132486665377)	(32, 38.24018852822378)	(33, 38.21772363503374)	(34, 38.22235605984444)	(35, 38.19513966743699)	(36, 38.2124327144076)	(37, 38.20429195367112)	(38, 38.201740847962064)	(39, 38.170917571486854)	(40, 38.20824436319526)	(41, 38.17296423872222)	(42, 38.18242143930831)	(43, 38.17125415808601)	(44, 38.174426679906475)	(45, 38.17530301898315)	(46, 38.16953778714286)	(47, 38.167179694536074)	(48, 38.1568354503159)	(49, 38.161694877957565)	(50, 38.15103832551588)	(51, 38.14790122805552)	(52, 38.14494566664618)	(53, 38.146099441365564)	(54, 38.141433909676266)	(55, 38.12523206542449)	(56, 38.121890146741826)	(57, 38.123505210636445)	(58, 38.116484234890656)	(59, 38.108417302493464)	(60, 38.102163302768695)	(61, 38.09047602283977)	(62, 38.0554182662347)	(63, 38.07580625457358)	(64, 38.078425008671246)	(65, 38.07042462110005)	(66, 38.036745876345144)	(67, 38.05000562265155)	(68, 38.05599509841627)	(69, 38.024297469277094)	(70, 38.03413153649796)	(71, 37.37157637629984)				
ERR2713024_1	(1, 36.86062082350336)	(2, 36.81591329509864)	(3, 36.730734247946764)	(4, 36.70878860662067)	(5, 36.75129031124917)	(6, 38.70711910570202)	(7, 38.730128610848524)	(8, 38.66432242350186)	(9, 38.63988068541434)	(10, 38.66455561417122)	(11, 38.62207523700138)	(12, 38.62468502793583)	(13, 38.62044070684216)	(14, 38.62066307696264)	(15, 38.618834717840855)	(16, 38.60510046173948)	(17, 38.60185696300752)	(18, 38.60444448556601)	(19, 38.59846824937319)	(20, 38.589987291343746)	(21, 38.58100529485525)	(22, 38.576535780889216)	(23, 38.58408272168482)	(24, 38.55047127410865)	(25, 38.56583002391812)	(26, 38.51342140110113)	(27, 38.51890255797775)	(28, 38.528813396654975)	(29, 38.5238089712073)	(30, 38.4886826467878)	(31, 38.49794895711864)	(32, 38.51860585539105)	(33, 38.507850857081564)	(34, 38.50000627278196)	(35, 38.49788403382535)	(36, 38.49714133644129)	(37, 38.48963799148031)	(38, 38.50190833709178)	(39, 38.49479406143186)	(40, 38.489956962442974)	(41, 38.495367393703006)	(42, 38.47304805139165)	(43, 38.46928140264423)	(44, 38.47211340687961)	(45, 38.433257286306706)	(46, 38.442203214298935)	(47, 38.441323142989944)	(48, 38.43364071010401)	(49, 38.42543042261614)	(50, 38.42699579535425)	(51, 38.42565734050354)	(52, 38.42116493088335)	(53, 38.41019540343083)	(54, 38.405875808953645)	(55, 38.41233881302656)	(56, 38.4201617562284)	(57, 38.43039642727431)	(58, 38.42010545801031)	(59, 38.40483593852423)	(60, 38.39527292560669)	(61, 38.364444397747064)	(62, 38.39000300466256)	(63, 38.37751812990806)	(64, 38.355966889747705)	(65, 38.36855699041958)	(66, 38.3594780794498)	(67, 38.33530371869333)	(68, 38.34093495187835)	(69, 38.338333001921356)	(70, 38.34711332846984)	(71, 37.74854393048754)				
ERR2713024_2	(1, 35.820153538884036)	(2, 35.87400380381498)	(3, 35.790152077325835)	(4, 35.942518735231516)	(5, 36.06804980463421)	(6, 38.04930406620545)	(7, 38.09761734650032)	(8, 38.036713024616276)	(9, 38.03465696350935)	(10, 38.087673105259164)	(11, 37.99372753167912)	(12, 37.98355449071597)	(13, 38.00707491395311)	(14, 37.99526467689841)	(15, 37.977112814101716)	(16, 37.98391345066363)	(17, 37.994494065634626)	(18, 37.97418687495648)	(19, 37.97737093907937)	(20, 37.96724996220649)	(21, 37.98204039797038)	(22, 37.993495281927046)	(23, 37.96578432670154)	(24, 37.9853605814618)	(25, 37.97373633239221)	(26, 37.97400998250521)	(27, 37.98338042101658)	(28, 37.97374542792605)	(29, 37.95582848081376)	(30, 37.95036222179428)	(31, 37.960215507697015)	(32, 37.958302309199226)	(33, 37.93358111867539)	(34, 37.93484994564634)	(35, 37.89956366528686)	(36, 37.92685167818872)	(37, 37.91948413895717)	(38, 37.90930843206169)	(39, 37.883293480258615)	(40, 37.9174426620683)	(41, 37.880693098497105)	(42, 37.891770047340685)	(43, 37.87214706035483)	(44, 37.87631908763641)	(45, 37.8756460181321)	(46, 37.86626224995907)	(47, 37.868010317471764)	(48, 37.8520809013235)	(49, 37.855907141499536)	(50, 37.842714853759496)	(51, 37.83680197266447)	(52, 37.83341576814293)	(53, 37.83753259494326)	(54, 37.83145066237441)	(55, 37.81263874609598)	(56, 37.81557911263972)	(57, 37.81440923880418)	(58, 37.80548103142099)	(59, 37.796259728300726)	(60, 37.787174387729436)	(61, 37.77629471787849)	(62, 37.73503188768709)	(63, 37.7562222860652)	(64, 37.754205586665066)	(65, 37.74626032421501)	(66, 37.71069145502823)	(67, 37.72028598867512)	(68, 37.7236739182117)	(69, 37.693857817360424)	(70, 37.70284138204441)	(71, 36.955982163971775)				
