Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR2713020_1	(0.0, 309.0)	(1.0, 204.0)	(2.0, 77.0)	(3.0, 55.0)	(4.0, 49.5)	(5.0, 49.0)	(6.0, 73.0)	(7.0, 92.0)	(8.0, 87.5)	(9.0, 86.5)	(10.0, 90.0)	(11.0, 93.0)	(12.0, 171.0)	(13.0, 650.5)	(14.0, 1055.0)	(15.0, 1436.0)	(16.0, 3101.5)	(17.0, 4386.0)	(18.0, 7164.5)	(19.0, 16715.5)	(20.0, 34970.0)	(21.0, 46452.0)	(22.0, 56229.5)	(23.0, 86722.0)	(24.0, 107437.0)	(25.0, 139296.0)	(26.0, 210249.0)	(27.0, 290244.0)	(28.0, 331145.0)	(29.0, 378811.0)	(30.0, 467209.0)	(31.0, 507941.0)	(32.0, 549997.5)	(33.0, 627088.5)	(34.0, 662123.0)	(35.0, 681037.5)	(36.0, 711518.0)	(37.0, 695416.5)	(38.0, 667749.0)	(39.0, 613992.0)	(40.0, 505098.0)	(41.0, 449961.0)	(42.0, 419360.0)	(43.0, 366304.0)	(44.0, 291455.0)	(45.0, 239061.0)	(46.0, 195534.0)	(47.0, 147763.5)	(48.0, 143520.0)	(49.0, 131823.5)	(50.0, 104301.5)	(51.0, 87130.5)	(52.0, 85785.0)	(53.0, 83956.0)	(54.0, 81175.5)	(55.0, 80224.0)	(56.0, 74899.5)	(57.0, 60172.5)	(58.0, 46476.0)	(59.0, 42182.0)	(60.0, 38147.5)	(61.0, 26768.0)	(62.0, 19423.0)	(63.0, 13500.5)	(64.0, 5367.5)	(65.0, 2668.5)	(66.0, 2180.0)	(67.0, 1180.0)	(68.0, 95.5)	(69.0, 11.0)	(70.0, 7.5)	(71.0, 2.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 1.0)	(76.0, 1.0)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR2713020_2	(0.0, 2786.0)	(1.0, 3371.5)	(2.0, 3207.5)	(3.0, 2458.0)	(4.0, 1985.5)	(5.0, 1214.5)	(6.0, 842.0)	(7.0, 768.0)	(8.0, 760.5)	(9.0, 727.0)	(10.0, 701.0)	(11.0, 847.5)	(12.0, 1634.0)	(13.0, 3920.0)	(14.0, 5566.0)	(15.0, 6932.5)	(16.0, 8440.5)	(17.0, 8582.0)	(18.0, 11450.0)	(19.0, 23531.0)	(20.0, 50147.5)	(21.0, 67551.0)	(22.0, 82124.5)	(23.0, 120387.5)	(24.0, 144077.0)	(25.0, 191260.0)	(26.0, 278920.5)	(27.0, 358167.0)	(28.0, 396936.0)	(29.0, 439282.5)	(30.0, 521765.5)	(31.0, 561902.0)	(32.0, 602284.5)	(33.0, 667377.5)	(34.0, 692088.0)	(35.0, 685195.0)	(36.0, 658612.5)	(37.0, 616002.5)	(38.0, 593082.0)	(39.0, 545950.5)	(40.0, 453038.0)	(41.0, 407257.0)	(42.0, 362035.0)	(43.0, 287997.0)	(44.0, 221343.5)	(45.0, 183506.0)	(46.0, 165423.5)	(47.0, 132657.0)	(48.0, 117973.0)	(49.0, 111740.0)	(50.0, 100080.0)	(51.0, 95555.5)	(52.0, 96458.0)	(53.0, 95522.0)	(54.0, 93008.5)	(55.0, 91431.0)	(56.0, 79495.0)	(57.0, 59180.0)	(58.0, 43002.0)	(59.0, 35203.0)	(60.0, 31000.5)	(61.0, 20315.0)	(62.0, 13832.0)	(63.0, 9661.5)	(64.0, 4360.0)	(65.0, 2161.5)	(66.0, 1094.0)	(67.0, 592.5)	(68.0, 64.0)	(69.0, 37.0)	(70.0, 25.0)	(71.0, 15.5)	(72.0, 18.0)	(73.0, 15.0)	(74.0, 9.0)	(75.0, 7.5)	(76.0, 9.0)	(77.0, 6.5)	(78.0, 3.5)	(79.0, 3.0)	(80.0, 3.0)	(81.0, 3.5)	(82.0, 4.5)	(83.0, 5.0)	(84.0, 4.0)	(85.0, 2.5)	(86.0, 2.0)	(87.0, 3.0)	(88.0, 2.0)	(89.0, 0.5)	(90.0, 1.0)	(91.0, 1.0)	(92.0, 1.5)	(93.0, 2.0)	(94.0, 2.0)	(95.0, 2.0)	(96.0, 1.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 2.5)	(100.0, 5.0)
ERR2713021_1	(0.0, 369.0)	(1.0, 248.5)	(2.0, 89.0)	(3.0, 50.0)	(4.0, 47.5)	(5.0, 58.0)	(6.0, 67.5)	(7.0, 64.0)	(8.0, 64.5)	(9.0, 71.0)	(10.0, 77.0)	(11.0, 74.5)	(12.0, 133.5)	(13.0, 596.5)	(14.0, 998.0)	(15.0, 1428.5)	(16.0, 2900.0)	(17.0, 3941.0)	(18.0, 6864.5)	(19.0, 16203.0)	(20.0, 33132.5)	(21.0, 43647.0)	(22.0, 53808.5)	(23.0, 85660.0)	(24.0, 107350.0)	(25.0, 140052.0)	(26.0, 209787.5)	(27.0, 287814.0)	(28.0, 328807.0)	(29.0, 380108.0)	(30.0, 471750.0)	(31.0, 512091.0)	(32.0, 555139.0)	(33.0, 631897.5)	(34.0, 665608.0)	(35.0, 684453.0)	(36.0, 718407.0)	(37.0, 705909.5)	(38.0, 678303.0)	(39.0, 619426.5)	(40.0, 503590.0)	(41.0, 446630.0)	(42.0, 418328.5)	(43.0, 370764.0)	(44.0, 300018.5)	(45.0, 248536.0)	(46.0, 200979.5)	(47.0, 150013.5)	(48.0, 146604.0)	(49.0, 135234.5)	(50.0, 106721.0)	(51.0, 88106.0)	(52.0, 86635.0)	(53.0, 84770.5)	(54.0, 81570.5)	(55.0, 80235.0)	(56.0, 74024.5)	(57.0, 59299.0)	(58.0, 46699.5)	(59.0, 42615.0)	(60.0, 38125.5)	(61.0, 26291.0)	(62.0, 18946.0)	(63.0, 13153.0)	(64.0, 5158.5)	(65.0, 2577.0)	(66.0, 2197.0)	(67.0, 1195.0)	(68.0, 100.5)	(69.0, 8.0)	(70.0, 4.5)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 1.5)	(74.0, 1.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR2713021_2	(0.0, 2583.0)	(1.0, 3211.5)	(2.0, 3143.0)	(3.0, 2446.0)	(4.0, 1937.5)	(5.0, 1131.5)	(6.0, 721.5)	(7.0, 609.0)	(8.0, 578.0)	(9.0, 527.0)	(10.0, 507.0)	(11.0, 610.5)	(12.0, 1329.5)	(13.0, 3636.5)	(14.0, 5328.0)	(15.0, 6513.5)	(16.0, 7709.5)	(17.0, 7720.0)	(18.0, 10221.0)	(19.0, 21323.0)	(20.0, 45590.0)	(21.0, 61256.0)	(22.0, 77477.5)	(23.0, 117108.5)	(24.0, 140518.0)	(25.0, 188111.5)	(26.0, 275924.0)	(27.0, 354303.5)	(28.0, 392464.0)	(29.0, 437251.0)	(30.0, 521686.0)	(31.0, 561334.0)	(32.0, 601611.5)	(33.0, 670006.5)	(34.0, 698124.0)	(35.0, 689859.0)	(36.0, 663063.5)	(37.0, 621510.0)	(38.0, 598487.0)	(39.0, 550504.0)	(40.0, 459872.0)	(41.0, 417223.0)	(42.0, 368598.5)	(43.0, 295306.0)	(44.0, 231350.0)	(45.0, 192062.0)	(46.0, 175075.5)	(47.0, 141316.5)	(48.0, 124544.0)	(49.0, 116947.0)	(50.0, 103286.0)	(51.0, 99295.5)	(52.0, 101369.0)	(53.0, 98946.0)	(54.0, 95405.5)	(55.0, 94288.0)	(56.0, 80592.5)	(57.0, 58647.0)	(58.0, 43036.5)	(59.0, 35676.0)	(60.0, 30848.5)	(61.0, 19733.5)	(62.0, 13446.0)	(63.0, 9526.5)	(64.0, 4480.5)	(65.0, 2221.0)	(66.0, 1088.0)	(67.0, 580.0)	(68.0, 49.5)	(69.0, 27.0)	(70.0, 19.0)	(71.0, 11.0)	(72.0, 11.0)	(73.0, 10.0)	(74.0, 7.0)	(75.0, 4.0)	(76.0, 3.0)	(77.0, 4.5)	(78.0, 4.5)	(79.0, 3.0)	(80.0, 3.0)	(81.0, 2.0)	(82.0, 1.5)	(83.0, 2.0)	(84.0, 3.0)	(85.0, 3.0)	(86.0, 2.0)	(87.0, 2.5)	(88.0, 3.0)	(89.0, 3.5)	(90.0, 4.0)	(91.0, 2.5)	(92.0, 1.5)	(93.0, 2.0)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 2.5)	(97.0, 3.0)	(98.0, 2.0)	(99.0, 4.0)	(100.0, 7.0)
ERR2713022_1	(0.0, 403.0)	(1.0, 259.0)	(2.0, 85.0)	(3.0, 55.0)	(4.0, 44.5)	(5.0, 52.5)	(6.0, 78.5)	(7.0, 86.0)	(8.0, 85.0)	(9.0, 73.0)	(10.0, 62.0)	(11.0, 67.5)	(12.0, 143.5)	(13.0, 581.5)	(14.0, 949.0)	(15.0, 1297.0)	(16.0, 2738.0)	(17.0, 3831.0)	(18.0, 6506.5)	(19.0, 16418.0)	(20.0, 33356.5)	(21.0, 43059.0)	(22.0, 53883.0)	(23.0, 85664.0)	(24.0, 106621.0)	(25.0, 137864.5)	(26.0, 207975.5)	(27.0, 289681.5)	(28.0, 332520.0)	(29.0, 383212.5)	(30.0, 478268.0)	(31.0, 522631.0)	(32.0, 567481.5)	(33.0, 646906.5)	(34.0, 681481.0)	(35.0, 702369.0)	(36.0, 737721.5)	(37.0, 719731.5)	(38.0, 687277.0)	(39.0, 632176.0)	(40.0, 523099.5)	(41.0, 469124.0)	(42.0, 441003.0)	(43.0, 391852.5)	(44.0, 317194.0)	(45.0, 263565.0)	(46.0, 216496.0)	(47.0, 166082.5)	(48.0, 162738.0)	(49.0, 150159.5)	(50.0, 119384.5)	(51.0, 98767.5)	(52.0, 96347.0)	(53.0, 95057.5)	(54.0, 92106.5)	(55.0, 90445.0)	(56.0, 83585.5)	(57.0, 66984.0)	(58.0, 52569.5)	(59.0, 47897.0)	(60.0, 42907.5)	(61.0, 29587.5)	(62.0, 21257.0)	(63.0, 14845.5)	(64.0, 6036.5)	(65.0, 3119.5)	(66.0, 2600.0)	(67.0, 1449.0)	(68.0, 169.0)	(69.0, 40.0)	(70.0, 26.0)	(71.0, 12.5)	(72.0, 13.0)	(73.0, 9.0)	(74.0, 8.0)	(75.0, 15.5)	(76.0, 20.0)	(77.0, 13.0)	(78.0, 4.0)	(79.0, 2.0)	(80.0, 2.5)	(81.0, 1.5)	(82.0, 1.0)	(83.0, 2.0)	(84.0, 1.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR2713022_2	(0.0, 2910.0)	(1.0, 3492.0)	(2.0, 3308.5)	(3.0, 2543.0)	(4.0, 2020.0)	(5.0, 1219.5)	(6.0, 829.5)	(7.0, 717.0)	(8.0, 698.0)	(9.0, 702.5)	(10.0, 726.0)	(11.0, 796.0)	(12.0, 1415.0)	(13.0, 3384.0)	(14.0, 4804.0)	(15.0, 5743.0)	(16.0, 7163.5)	(17.0, 7645.0)	(18.0, 10275.0)	(19.0, 21845.0)	(20.0, 48917.5)	(21.0, 67050.0)	(22.0, 80479.0)	(23.0, 116333.5)	(24.0, 138759.0)	(25.0, 189875.5)	(26.0, 280984.5)	(27.0, 359498.0)	(28.0, 398019.0)	(29.0, 443111.0)	(30.0, 529893.5)	(31.0, 571584.0)	(32.0, 614417.0)	(33.0, 684156.0)	(34.0, 711062.0)	(35.0, 704916.5)	(36.0, 679389.0)	(37.0, 638771.0)	(38.0, 617535.0)	(39.0, 569253.5)	(40.0, 477230.0)	(41.0, 433488.0)	(42.0, 385615.0)	(43.0, 310804.0)	(44.0, 243918.0)	(45.0, 203970.0)	(46.0, 187400.0)	(47.0, 153701.0)	(48.0, 136572.0)	(49.0, 128832.5)	(50.0, 115940.5)	(51.0, 111598.5)	(52.0, 112409.0)	(53.0, 109855.0)	(54.0, 105586.0)	(55.0, 103871.0)	(56.0, 89648.5)	(57.0, 66601.0)	(58.0, 49066.5)	(59.0, 40357.0)	(60.0, 35019.5)	(61.0, 22633.0)	(62.0, 15584.0)	(63.0, 11017.0)	(64.0, 5107.0)	(65.0, 2521.5)	(66.0, 1279.0)	(67.0, 703.0)	(68.0, 96.5)	(69.0, 66.0)	(70.0, 59.5)	(71.0, 41.0)	(72.0, 29.0)	(73.0, 28.0)	(74.0, 23.0)	(75.0, 20.0)	(76.0, 21.0)	(77.0, 15.5)	(78.0, 7.5)	(79.0, 5.0)	(80.0, 5.5)	(81.0, 7.0)	(82.0, 6.0)	(83.0, 4.0)	(84.0, 3.5)	(85.0, 2.0)	(86.0, 1.0)	(87.0, 0.5)	(88.0, 0.5)	(89.0, 1.0)	(90.0, 1.0)	(91.0, 1.5)	(92.0, 2.5)	(93.0, 3.0)	(94.0, 1.5)	(95.0, 0.5)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 5.0)	(100.0, 9.0)
ERR2713023_1	(0.0, 77.0)	(1.0, 46.0)	(2.0, 15.0)	(3.0, 15.0)	(4.0, 10.5)	(5.0, 7.5)	(6.0, 16.5)	(7.0, 24.0)	(8.0, 22.0)	(9.0, 23.5)	(10.0, 27.0)	(11.0, 39.5)	(12.0, 102.5)	(13.0, 445.0)	(14.0, 737.0)	(15.0, 1819.5)	(16.0, 4689.0)	(17.0, 6476.0)	(18.0, 8769.0)	(19.0, 16793.0)	(20.0, 36601.0)	(21.0, 50678.0)	(22.0, 63256.0)	(23.0, 105801.5)	(24.0, 135769.0)	(25.0, 168188.5)	(26.0, 247730.5)	(27.0, 335331.0)	(28.0, 375809.0)	(29.0, 421846.5)	(30.0, 506339.0)	(31.0, 544794.0)	(32.0, 589784.5)	(33.0, 655325.0)	(34.0, 675875.0)	(35.0, 688655.0)	(36.0, 719721.0)	(37.0, 718221.5)	(38.0, 698436.0)	(39.0, 646118.5)	(40.0, 542252.5)	(41.0, 490704.0)	(42.0, 455023.0)	(43.0, 389637.5)	(44.0, 315748.0)	(45.0, 271563.0)	(46.0, 238544.5)	(47.0, 203345.5)	(48.0, 201165.0)	(49.0, 196013.5)	(50.0, 169755.5)	(51.0, 135217.5)	(52.0, 121786.0)	(53.0, 110862.0)	(54.0, 98766.5)	(55.0, 97595.0)	(56.0, 89208.0)	(57.0, 65306.5)	(58.0, 41763.5)	(59.0, 33735.0)	(60.0, 31447.0)	(61.0, 23446.0)	(62.0, 17733.0)	(63.0, 11771.0)	(64.0, 4271.0)	(65.0, 2307.0)	(66.0, 1881.0)	(67.0, 1023.5)	(68.0, 88.5)	(69.0, 11.0)	(70.0, 5.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.5)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR2713023_2	(0.0, 2552.0)	(1.0, 3339.0)	(2.0, 3313.5)	(3.0, 2501.0)	(4.0, 2047.0)	(5.0, 1215.5)	(6.0, 709.0)	(7.0, 580.0)	(8.0, 550.5)	(9.0, 548.0)	(10.0, 575.0)	(11.0, 654.5)	(12.0, 983.5)	(13.0, 2486.5)	(14.0, 3740.0)	(15.0, 4666.5)	(16.0, 7803.0)	(17.0, 10013.0)	(18.0, 14082.0)	(19.0, 28654.0)	(20.0, 76650.5)	(21.0, 114144.0)	(22.0, 117860.5)	(23.0, 152330.5)	(24.0, 183084.0)	(25.0, 212686.5)	(26.0, 288586.0)	(27.0, 375332.0)	(28.0, 415781.0)	(29.0, 462018.5)	(30.0, 553149.5)	(31.0, 598043.0)	(32.0, 638381.5)	(33.0, 696221.0)	(34.0, 713722.0)	(35.0, 711377.0)	(36.0, 700483.5)	(37.0, 657993.5)	(38.0, 624052.0)	(39.0, 579260.0)	(40.0, 483265.0)	(41.0, 432062.0)	(42.0, 393068.0)	(43.0, 318807.0)	(44.0, 252326.0)	(45.0, 221112.0)	(46.0, 205671.0)	(47.0, 181967.0)	(48.0, 173704.0)	(49.0, 162436.0)	(50.0, 149029.5)	(51.0, 136305.0)	(52.0, 125719.0)	(53.0, 119567.0)	(54.0, 105035.5)	(55.0, 96656.0)	(56.0, 84899.5)	(57.0, 64699.0)	(58.0, 44601.0)	(59.0, 32947.0)	(60.0, 30069.0)	(61.0, 20025.5)	(62.0, 12860.0)	(63.0, 9030.5)	(64.0, 3740.5)	(65.0, 1659.0)	(66.0, 1038.0)	(67.0, 547.5)	(68.0, 40.5)	(69.0, 24.0)	(70.0, 21.5)	(71.0, 18.0)	(72.0, 17.0)	(73.0, 13.5)	(74.0, 7.0)	(75.0, 4.0)	(76.0, 4.0)	(77.0, 4.0)	(78.0, 6.0)	(79.0, 8.0)	(80.0, 5.0)	(81.0, 2.0)	(82.0, 1.5)	(83.0, 1.0)	(84.0, 1.0)	(85.0, 2.0)	(86.0, 3.0)	(87.0, 2.5)	(88.0, 2.5)	(89.0, 3.5)	(90.0, 4.0)	(91.0, 3.0)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 1.5)	(95.0, 1.5)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 2.0)	(99.0, 5.0)	(100.0, 7.0)
ERR2713024_1	(0.0, 86.0)	(1.0, 55.5)	(2.0, 17.5)	(3.0, 10.0)	(4.0, 13.5)	(5.0, 16.5)	(6.0, 20.5)	(7.0, 25.0)	(8.0, 20.5)	(9.0, 22.0)	(10.0, 28.0)	(11.0, 33.0)	(12.0, 68.0)	(13.0, 278.5)	(14.0, 459.0)	(15.0, 1046.0)	(16.0, 2801.5)	(17.0, 3970.0)	(18.0, 5241.0)	(19.0, 9821.5)	(20.0, 22656.5)	(21.0, 32182.0)	(22.0, 38745.0)	(23.0, 62422.5)	(24.0, 79537.0)	(25.0, 99588.0)	(26.0, 147237.5)	(27.0, 197858.5)	(28.0, 220881.0)	(29.0, 247404.0)	(30.0, 293899.0)	(31.0, 313871.0)	(32.0, 339403.0)	(33.0, 375064.0)	(34.0, 385193.0)	(35.0, 392752.0)	(36.0, 412366.0)	(37.0, 415451.5)	(38.0, 406482.0)	(39.0, 372079.5)	(40.0, 309455.5)	(41.0, 281234.0)	(42.0, 262522.5)	(43.0, 234426.5)	(44.0, 206244.5)	(45.0, 187447.0)	(46.0, 168551.0)	(47.0, 156718.0)	(48.0, 163781.0)	(49.0, 188390.5)	(50.0, 193947.5)	(51.0, 177298.5)	(52.0, 179702.0)	(53.0, 184875.5)	(54.0, 195317.0)	(55.0, 200585.0)	(56.0, 185830.0)	(57.0, 148710.0)	(58.0, 115528.5)	(59.0, 104712.0)	(60.0, 92571.0)	(61.0, 63258.0)	(62.0, 46086.0)	(63.0, 32350.5)	(64.0, 13613.5)	(65.0, 7283.5)	(66.0, 5955.0)	(67.0, 3197.0)	(68.0, 228.0)	(69.0, 17.0)	(70.0, 8.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 1.5)	(74.0, 2.0)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR2713024_2	(0.0, 1664.0)	(1.0, 2222.5)	(2.0, 2263.5)	(3.0, 1746.0)	(4.0, 1443.5)	(5.0, 879.0)	(6.0, 481.0)	(7.0, 345.0)	(8.0, 338.5)	(9.0, 340.0)	(10.0, 348.0)	(11.0, 396.5)	(12.0, 655.0)	(13.0, 1653.5)	(14.0, 2442.0)	(15.0, 2949.5)	(16.0, 4788.5)	(17.0, 6120.0)	(18.0, 8441.0)	(19.0, 17177.0)	(20.0, 45705.0)	(21.0, 67818.0)	(22.0, 70122.0)	(23.0, 90816.0)	(24.0, 109206.0)	(25.0, 125275.5)	(26.0, 169901.5)	(27.0, 220669.5)	(28.0, 242881.0)	(29.0, 269437.5)	(30.0, 321122.0)	(31.0, 346250.0)	(32.0, 368796.5)	(33.0, 402711.0)	(34.0, 414079.0)	(35.0, 411016.5)	(36.0, 402704.0)	(37.0, 378327.0)	(38.0, 359200.0)	(39.0, 333039.0)	(40.0, 279103.0)	(41.0, 251328.0)	(42.0, 229384.5)	(43.0, 193742.0)	(44.0, 165803.5)	(45.0, 151564.0)	(46.0, 149506.5)	(47.0, 153344.5)	(48.0, 159240.0)	(49.0, 170026.0)	(50.0, 182743.0)	(51.0, 186666.5)	(52.0, 188659.0)	(53.0, 198783.5)	(54.0, 201090.5)	(55.0, 193273.0)	(56.0, 180069.0)	(57.0, 147848.0)	(58.0, 109512.5)	(59.0, 90194.0)	(60.0, 78719.0)	(61.0, 50926.0)	(62.0, 34608.0)	(63.0, 24804.5)	(64.0, 11996.0)	(65.0, 6174.0)	(66.0, 3357.0)	(67.0, 1780.5)	(68.0, 118.5)	(69.0, 33.0)	(70.0, 22.0)	(71.0, 12.5)	(72.0, 14.0)	(73.0, 13.0)	(74.0, 11.0)	(75.0, 7.0)	(76.0, 4.0)	(77.0, 4.5)	(78.0, 4.0)	(79.0, 3.0)	(80.0, 2.5)	(81.0, 2.0)	(82.0, 2.0)	(83.0, 2.0)	(84.0, 3.0)	(85.0, 3.0)	(86.0, 2.0)	(87.0, 3.0)	(88.0, 3.5)	(89.0, 1.5)	(90.0, 0.0)	(91.0, 0.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 1.0)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 1.0)	(98.0, 2.0)	(99.0, 5.0)	(100.0, 7.0)
