Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR2713020_1	(13.0, 1.0)	(14.0, 12.0)	(15.0, 16.0)	(16.0, 9.0)	(17.0, 14.0)	(18.0, 12.0)	(19.0, 14.0)	(20.0, 53.0)	(21.0, 243.0)	(22.0, 761.0)	(23.0, 2205.0)	(24.0, 4954.0)	(25.0, 10260.0)	(26.0, 17843.0)	(27.0, 28228.0)	(28.0, 41489.0)	(29.0, 56378.0)	(30.0, 73883.0)	(31.0, 93604.0)	(32.0, 114946.0)	(33.0, 140486.0)	(34.0, 173641.0)	(35.0, 221738.0)	(36.0, 306610.0)	(37.0, 487169.0)	(38.0, 963046.0)	(39.0, 5518469.0)											
ERR2713020_2	(2.0, 2719.0)	(3.0, 2440.0)	(4.0, 3159.0)	(5.0, 947.0)	(6.0, 508.0)	(7.0, 386.0)	(8.0, 363.0)	(9.0, 295.0)	(10.0, 268.0)	(11.0, 265.0)	(12.0, 233.0)	(13.0, 188.0)	(14.0, 358.0)	(15.0, 880.0)	(16.0, 2466.0)	(17.0, 6302.0)	(18.0, 11106.0)	(19.0, 15811.0)	(20.0, 19206.0)	(21.0, 22510.0)	(22.0, 26070.0)	(23.0, 29822.0)	(24.0, 34076.0)	(25.0, 39357.0)	(26.0, 45149.0)	(27.0, 51572.0)	(28.0, 59343.0)	(29.0, 67839.0)	(30.0, 78737.0)	(31.0, 92246.0)	(32.0, 109626.0)	(33.0, 132615.0)	(34.0, 164559.0)	(35.0, 215150.0)	(36.0, 305755.0)	(37.0, 498765.0)	(38.0, 1013763.0)	(39.0, 5201230.0)
ERR2713021_1	(14.0, 6.0)	(15.0, 9.0)	(16.0, 5.0)	(17.0, 10.0)	(18.0, 5.0)	(19.0, 12.0)	(20.0, 59.0)	(21.0, 242.0)	(22.0, 802.0)	(23.0, 2226.0)	(24.0, 5236.0)	(25.0, 10227.0)	(26.0, 18505.0)	(27.0, 29085.0)	(28.0, 42630.0)	(29.0, 57968.0)	(30.0, 75882.0)	(31.0, 95561.0)	(32.0, 118125.0)	(33.0, 143838.0)	(34.0, 177806.0)	(35.0, 228586.0)	(36.0, 312476.0)	(37.0, 496145.0)	(38.0, 977239.0)	(39.0, 5520420.0)												
ERR2713021_2	(2.0, 2734.0)	(3.0, 2421.0)	(4.0, 3009.0)	(5.0, 962.0)	(6.0, 541.0)	(7.0, 423.0)	(8.0, 379.0)	(9.0, 323.0)	(10.0, 244.0)	(11.0, 242.0)	(12.0, 196.0)	(13.0, 164.0)	(14.0, 297.0)	(15.0, 668.0)	(16.0, 1577.0)	(17.0, 4342.0)	(18.0, 8408.0)	(19.0, 13080.0)	(20.0, 17050.0)	(21.0, 20871.0)	(22.0, 24534.0)	(23.0, 29185.0)	(24.0, 34366.0)	(25.0, 40378.0)	(26.0, 46139.0)	(27.0, 53594.0)	(28.0, 61652.0)	(29.0, 71385.0)	(30.0, 82327.0)	(31.0, 97147.0)	(32.0, 115393.0)	(33.0, 138437.0)	(34.0, 172671.0)	(35.0, 224612.0)	(36.0, 317784.0)	(37.0, 514448.0)	(38.0, 1033817.0)	(39.0, 5177305.0)
ERR2713022_1	(14.0, 6.0)	(15.0, 23.0)	(16.0, 9.0)	(17.0, 9.0)	(18.0, 11.0)	(19.0, 11.0)	(20.0, 85.0)	(21.0, 260.0)	(22.0, 886.0)	(23.0, 2516.0)	(24.0, 5772.0)	(25.0, 11287.0)	(26.0, 19484.0)	(27.0, 31501.0)	(28.0, 45755.0)	(29.0, 61816.0)	(30.0, 80687.0)	(31.0, 100929.0)	(32.0, 123623.0)	(33.0, 151356.0)	(34.0, 187240.0)	(35.0, 238265.0)	(36.0, 328199.0)	(37.0, 518240.0)	(38.0, 1019308.0)	(39.0, 5690195.0)												
ERR2713022_2	(2.0, 2915.0)	(3.0, 2615.0)	(4.0, 3200.0)	(5.0, 925.0)	(6.0, 511.0)	(7.0, 438.0)	(8.0, 406.0)	(9.0, 306.0)	(10.0, 269.0)	(11.0, 232.0)	(12.0, 198.0)	(13.0, 184.0)	(14.0, 312.0)	(15.0, 838.0)	(16.0, 2494.0)	(17.0, 6209.0)	(18.0, 11459.0)	(19.0, 16392.0)	(20.0, 20331.0)	(21.0, 22731.0)	(22.0, 26117.0)	(23.0, 29866.0)	(24.0, 34312.0)	(25.0, 39495.0)	(26.0, 45613.0)	(27.0, 52707.0)	(28.0, 60287.0)	(29.0, 69740.0)	(30.0, 80833.0)	(31.0, 95184.0)	(32.0, 113802.0)	(33.0, 137946.0)	(34.0, 172384.0)	(35.0, 226925.0)	(36.0, 322928.0)	(37.0, 527971.0)	(38.0, 1060135.0)	(39.0, 5428263.0)
ERR2713023_1	(14.0, 3.0)	(15.0, 7.0)	(16.0, 14.0)	(17.0, 6.0)	(18.0, 6.0)	(19.0, 23.0)	(20.0, 82.0)	(21.0, 265.0)	(22.0, 966.0)	(23.0, 2447.0)	(24.0, 5965.0)	(25.0, 11732.0)	(26.0, 20568.0)	(27.0, 32239.0)	(28.0, 46945.0)	(29.0, 64160.0)	(30.0, 83711.0)	(31.0, 105401.0)	(32.0, 129375.0)	(33.0, 158049.0)	(34.0, 195415.0)	(35.0, 248706.0)	(36.0, 341448.0)	(37.0, 540906.0)	(38.0, 1065334.0)	(39.0, 6007788.0)												
ERR2713023_2	(2.0, 3045.0)	(3.0, 2721.0)	(4.0, 3340.0)	(5.0, 1065.0)	(6.0, 539.0)	(7.0, 461.0)	(8.0, 420.0)	(9.0, 313.0)	(10.0, 267.0)	(11.0, 282.0)	(12.0, 209.0)	(13.0, 210.0)	(14.0, 318.0)	(15.0, 754.0)	(16.0, 1669.0)	(17.0, 4348.0)	(18.0, 7882.0)	(19.0, 11995.0)	(20.0, 15851.0)	(21.0, 19285.0)	(22.0, 22860.0)	(23.0, 27246.0)	(24.0, 32150.0)	(25.0, 37413.0)	(26.0, 43562.0)	(27.0, 51374.0)	(28.0, 59393.0)	(29.0, 69017.0)	(30.0, 81081.0)	(31.0, 95604.0)	(32.0, 114523.0)	(33.0, 141123.0)	(34.0, 176901.0)	(35.0, 233717.0)	(36.0, 334491.0)	(37.0, 550179.0)	(38.0, 1117329.0)	(39.0, 5798624.0)
ERR2713024_1	(14.0, 2.0)	(15.0, 5.0)	(16.0, 8.0)	(17.0, 4.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 55.0)	(21.0, 241.0)	(22.0, 731.0)	(23.0, 2037.0)	(24.0, 4685.0)	(25.0, 9122.0)	(26.0, 15613.0)	(27.0, 24766.0)	(28.0, 35560.0)	(29.0, 48507.0)	(30.0, 62693.0)	(31.0, 79021.0)	(32.0, 96153.0)	(33.0, 117327.0)	(34.0, 144007.0)	(35.0, 183522.0)	(36.0, 253482.0)	(37.0, 397257.0)	(38.0, 773241.0)	(39.0, 4128708.0)												
ERR2713024_2	(2.0, 2101.0)	(3.0, 1966.0)	(4.0, 2305.0)	(5.0, 704.0)	(6.0, 390.0)	(7.0, 292.0)	(8.0, 275.0)	(9.0, 207.0)	(10.0, 166.0)	(11.0, 173.0)	(12.0, 156.0)	(13.0, 150.0)	(14.0, 210.0)	(15.0, 514.0)	(16.0, 1218.0)	(17.0, 3140.0)	(18.0, 6317.0)	(19.0, 9806.0)	(20.0, 12858.0)	(21.0, 16817.0)	(22.0, 20337.0)	(23.0, 24585.0)	(24.0, 29020.0)	(25.0, 33918.0)	(26.0, 39105.0)	(27.0, 45691.0)	(28.0, 52369.0)	(29.0, 60673.0)	(30.0, 69884.0)	(31.0, 81268.0)	(32.0, 95843.0)	(33.0, 115309.0)	(34.0, 142400.0)	(35.0, 184509.0)	(36.0, 259864.0)	(37.0, 416942.0)	(38.0, 832793.0)	(39.0, 3812481.0)
