Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR2713020_1	(1.0, 7.544445244054873)	(2.0, 3.4776582062055486)	(3.0, 2.558978135361953)	(4.0, 2.1131237275987234)	(5.0, 1.7631790101337486)	(6.0, 1.597194258685769)	(7.0, 1.3629388757249794)	(8.0, 1.2845156408376845)	(9.0, 1.14441066647149)	('>10', 21.46227453660825)	('>50', 10.10145058242842)	('>100', 23.889368654755636)	('>500', 8.587184564896411)	('>1k', 9.76776613551406)	('>5k', 1.4508211276675258)	('>10k+', 1.894690633054868)
ERR2713020_2	(1.0, 8.797788942840645)	(2.0, 4.195095459356333)	(3.0, 3.2649091929096254)	(4.0, 2.773809815738173)	(5.0, 2.357337598520934)	(6.0, 2.0637859986335583)	(7.0, 1.8216417749696872)	(8.0, 1.5890518187788594)	(9.0, 1.4640551043579773)	('>10', 24.880504394928302)	('>50', 11.459861754440187)	('>100', 22.898590204906878)	('>500', 5.853658953602203)	('>1k', 5.603032016182461)	('>5k', 0.5219944916574518)	('>10k+', 0.4548824781766623)
ERR2713021_1	(1.0, 7.140072213433053)	(2.0, 3.3109999667263077)	(3.0, 2.4247034563755303)	(4.0, 2.038733300090436)	(5.0, 1.7149572574203105)	(6.0, 1.4719056518538416)	(7.0, 1.3019029239707711)	(8.0, 1.2069195138678528)	(9.0, 1.1544703704549248)	('>10', 20.771823281662087)	('>50', 9.885672753995268)	('>100', 24.018534813202802)	('>500', 9.12068987711137)	('>1k', 10.66311711508796)	('>5k', 1.5512345494552846)	('>10k+', 2.224262955292207)
ERR2713021_2	(1.0, 8.50231906601122)	(2.0, 3.857533106102857)	(3.0, 2.9972817033154153)	(4.0, 2.4628368962967517)	(5.0, 2.157711015554847)	(6.0, 1.818305282706693)	(7.0, 1.7002483117971947)	(8.0, 1.5094307706679524)	(9.0, 1.3949151184816775)	('>10', 23.751242950033728)	('>50', 11.377706005640135)	('>100', 24.420335309530884)	('>500', 6.588506488013623)	('>1k', 6.056801524376949)	('>5k', 0.7963932513000661)	('>10k+', 0.6084332001699094)
ERR2713022_1	(1.0, 7.601140643285538)	(2.0, 3.411191793292636)	(3.0, 2.5438849849228165)	(4.0, 2.025323524968333)	(5.0, 1.718482514794251)	(6.0, 1.5532641303314803)	(7.0, 1.4092218816451938)	(8.0, 1.2346513212381225)	(9.0, 1.1311991293803614)	('>10', 20.90764802420357)	('>50', 9.914510811753829)	('>100', 24.134886969609372)	('>500', 8.681101481318736)	('>1k', 10.268089647276076)	('>5k', 1.5030997999335134)	('>10k+', 1.9623033420461795)
ERR2713022_2	(1.0, 9.034614903890915)	(2.0, 3.9311157474340885)	(3.0, 3.0724485724886974)	(4.0, 2.5761932725933465)	(5.0, 2.1973869970356503)	(6.0, 1.9036590487131837)	(7.0, 1.6884364769507467)	(8.0, 1.4949016976018936)	(9.0, 1.4107363545840201)	('>10', 23.916107430193286)	('>50', 11.193534601098428)	('>100', 23.741100866702496)	('>500', 6.461886281853438)	('>1k', 5.925621988973121)	('>5k', 0.9255216369335066)	('>10k+', 0.5267341229531819)
ERR2713023_1	(1.0, 7.592411863695453)	(2.0, 3.610394996147855)	(3.0, 2.7612231034754164)	(4.0, 2.2473250304676675)	(5.0, 1.9277155344309818)	(6.0, 1.7095237148751683)	(7.0, 1.5633978212848807)	(8.0, 1.4105893509655636)	(9.0, 1.3167698207668161)	('>10', 23.779287243576913)	('>50', 11.08548584465244)	('>100', 23.267561279910407)	('>500', 7.641389318815316)	('>1k', 8.433281942101445)	('>5k', 0.855634483899588)	('>10k+', 0.7980086509340747)
ERR2713023_2	(1.0, 8.420655748923933)	(2.0, 4.387594214307713)	(3.0, 3.64047422620737)	(4.0, 3.071635770703114)	(5.0, 2.6912463768460113)	(6.0, 2.3240339713478395)	(7.0, 2.0726950907954533)	(8.0, 1.8893869430270156)	(9.0, 1.6578674895370238)	('>10', 27.56950481421069)	('>50', 11.142192422013384)	('>100', 21.648688683838486)	('>500', 4.834545435494658)	('>1k', 4.1406481378534625)	('>5k', 0.24274267175338898)	('>10k+', 0.26608800314039405)
ERR2713024_1	(1.0, 8.41450392744609)	(2.0, 4.071291248542133)	(3.0, 2.8510750167493413)	(4.0, 2.3569412046431664)	(5.0, 1.953794514648548)	(6.0, 1.6742819852856032)	(7.0, 1.5447109756361563)	(8.0, 1.3839282360245084)	(9.0, 1.231205016552127)	('>10', 21.332343346460185)	('>50', 9.445286882809299)	('>100', 22.546324137381166)	('>500', 9.087305604652874)	('>1k', 10.773009005162884)	('>5k', 0.5627460976138674)	('>10k+', 0.7712528003921241)
ERR2713024_2	(1.0, 10.45470294999694)	(2.0, 5.228351765560258)	(3.0, 3.811559757734001)	(4.0, 3.104776445004262)	(5.0, 2.566873331033785)	(6.0, 2.1648838978461087)	(7.0, 1.8973320962691917)	(8.0, 1.7026057364067333)	(9.0, 1.4817213600280803)	('>10', 23.021016852705614)	('>50', 9.870095255910666)	('>100', 21.85984051928694)	('>500', 6.829267493905769)	('>1k', 5.4496762426702645)	('>5k', 0.3765745544278888)	('>10k+', 0.18072174121338408)
ERR2713025_1	(1.0, 7.487268613818676)	(2.0, 3.029591968983669)	(3.0, 2.1245334223022376)	(4.0, 1.7716250112466347)	(5.0, 1.5422810136287552)	(6.0, 1.2997192035660465)	(7.0, 1.2056567701903824)	(8.0, 1.0609752478625605)	(9.0, 1.0096441101853153)	('>10', 18.531314441563023)	('>50', 9.0641132327695)	('>100', 22.49333652304914)	('>500', 9.511211752641401)	('>1k', 15.19442771200607)	('>5k', 2.4588847479737344)	('>10k+', 2.2154162282128778)
ERR2713025_2	(1.0, 10.892951311472947)	(2.0, 3.3612758162060454)	(3.0, 2.5974383835534383)	(4.0, 2.1041229180593013)	(5.0, 1.937562990233357)	(6.0, 1.6603207330838186)	(7.0, 1.4802883371521307)	(8.0, 1.4010627526578607)	(9.0, 1.217397820057602)	('>10', 20.907879875467003)	('>50', 9.411414273999169)	('>100', 23.521948003562194)	('>500', 8.243168078132348)	('>1k', 9.081604644182944)	('>5k', 1.2634663782516058)	('>10k+', 0.9180976839280988)
