Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR2713020_1	86.89551139506547	37.0	71.0	71	27.27272727272727	8.256084
ERR2713020_2	84.34867709191617	36.0	71.0	71	27.27272727272727	8.256084
ERR2713021_1	87.53591030995679	37.0	71.0	71	27.27272727272727	8.313105
ERR2713021_2	85.15718929457202	36.0	71.0	71	27.27272727272727	8.313105
ERR2713022_1	86.94723819875594	37.0	71.0	71	27.27272727272727	8.617473
ERR2713022_2	84.50695662118663	36.0	71.0	71	27.27272727272727	8.617473
ERR2713023_1	86.44187451089633	37.0	71.0	71	27.27272727272727	9.061561
ERR2713023_2	84.07532141269786	36.0	71.0	71	27.27272727272727	9.061561
ERR2713024_1	85.48139546583974	40.0	71.0	71	36.36363636363637	6.376755999999999
ERR2713024_2	81.92748657724255	39.0	71.0	71	36.36363636363637	6.376755999999999
ERR2713025_1	87.74147543565331	39.0	75.0	75	36.36363636363637	14.277826
ERR2713025_2	83.53467137007007	38.0	75.0	75	36.36363636363637	14.277826
