"FunCat","Regulon","Operon","SACOL.numbers","USA300.numbers","Gene.symbol","log2.fold.change","Fold.change","Function"
"Amino acid biosynthesis","CodY","-","SACOL0041","USA300HOU_0039","ccrB",1.55,2.93,"cassette chromosome recombinase B"
"Amino acid biosynthesis","CodY","hom thrC thrB","SACOL1362","USA300HOU_1273","hom",0.7,1.63,"homoserine dehydrogenase"
"Amino acid biosynthesis","CodY","hom thrC thrB","SACOL1363","USA300HOU_1274","thrC",1.24,2.36,"threonine synthase"
"Amino acid biosynthesis","CodY","hom thrC thrB","SACOL1364","USA300HOU_1275","thrB",1.13,2.19,"homoserine kinase"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2042","USA300HOU_2048","ilvD",0.7,1.62,"dihydroxy-acid dehydratase"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2043","USA300HOU_2049","ilvB",1.23,2.35,"acetolactate synthase large subunit"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2044","USA300HOU_2050","ilvN",1.44,2.72,"acetolactate synthase small subunit"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2045","USA300HOU_2051","ilvC",1.68,3.21,"ketol-acid reductoisomerase"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2046","USA300HOU_2052","leuA",1.58,2.98,"2-isopropylmalate synthase"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2047","USA300HOU_2053","leuB",1.38,2.61,"3-isopropylmalate dehydrogenase"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2048","USA300HOU_2054","leuC",1.34,2.54,"3-isopropylmalate dehydratase large subunit"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2049","USA300HOU_2055","leuD",1.34,2.54,"3-isopropylmalate dehydratase small subunit"
"Amino acid biosynthesis","CodY","ilvDBNC-leuABCD-ilvA2","SACOL2050","USA300HOU_2056","ilvA2",1.52,2.86,"threonine ammonia-lyase"
"Amino acid biosynthesis","CodY","ilvE SACOL0601","SACOL0600","USA300HOU_0547","ilvE",0.77,1.7,"branched-chain amino acid aminotransferase"
"Amino acid biosynthesis","CodY","ilvE SACOL0601","SACOL0601","USA300HOU_0548","USA300HOU_0548",0.86,1.82,"hypothetical protein"
"Amino acid biosynthesis","CodY","isaA","SACOL2584","USA300HOU_2564","isaA",-3.42,0.09,"immunodominant antigen A"
"Amino acid biosynthesis","CodY","lysC asd dapA dapB dapD","SACOL1428","USA300HOU_1328","lysC",-0.8,0.57,"aspartate kinase"
"Amino acid biosynthesis","CodY","lysC asd dapA dapB dapD","SACOL1429","USA300HOU_1329","asd",0.37,1.29,"aspartate-semialdehyde dehydrogenase"
"Amino acid biosynthesis","CodY","lysC asd dapA dapB dapD","SACOL1430","USA300HOU_1330","dapA",0.72,1.65,"dihydrodipicolinate synthase"
"Amino acid biosynthesis","CodY","lysC asd dapA dapB dapD","SACOL1431","USA300HOU_1331","dapB",0.95,1.94,"dihydrodipicolinate reductase"
"Amino acid biosynthesis","CodY","lysC asd dapA dapB dapD","SACOL1432","USA300HOU_1332","dapD",1.02,2.03,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
"Amino acid biosynthesis","CodY","metN2 metI2 metQ","SACOL0882","USA300HOU_0847","metN2",-0.99,0.5,"ABC transporter,  ATP-binding protein"
"Amino acid biosynthesis","CodY","metN2 metI2 metQ","SACOL0883","USA300HOU_0848","metI2",-0.77,0.59,"ABC transporter, membrane protein"
"Amino acid biosynthesis","CodY","metN2 metI2 metQ","SACOL0884","USA300HOU_0849","metQ",-0.4,0.76,"ABC transporter, binding protein"
"Amino acid biosynthesis","CodY","mqo1","SACOL2362","USA300HOU_2348","mqo1",1.2,2.29,"malate:quinone oxidoreductase"
"Amino acid biosynthesis","CodY","ribHBAED","SACOL1817","USA300HOU_1757","ribH",-0.7,0.61,"riboflavin synthase beta subunit"
"Amino acid biosynthesis","CodY","ribHBAED","SACOL1818","USA300HOU_1758","ribA",-1.08,0.47,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II"
"Amino acid biosynthesis","CodY","ribHBAED","SACOL1819","USA300HOU_1759","ribB",-0.98,0.51,"riboflavin synthase alpha subunit"
"Amino acid biosynthesis","CodY","ribHBAED","SACOL1820","USA300HOU_1760","ribD",-0.89,0.54,"diaminohydroxyphosphoribosylaminopyrimidine deaminase"
"Amino acid biosynthesis","CodY","SACOL1772 serA","SACOL1772","USA300HOU_1711","USA300HOU_1711",1.02,2.03,"class V aminotransferase"
"Amino acid biosynthesis","CodY","SACOL1774 ptaA","SACOL1775","USA300HOU_1715","ptaA",-2.07,0.24,"PTS system, IIBC components"
"Amino acid biosynthesis","CodY","SACOL2143 SACOL2144","SACOL2143","USA300HOU_2143","USA300HOU_2143",2.28,4.86,"hypothetical protein"
"Amino acid biosynthesis","CodY","SACOL2143 SACOL2144","SACOL2144","USA300HOU_2144","USA300HOU_2144",0.34,1.26,"ABC transporter ATP-binding protein"
"Amino acid biosynthesis","CodY","SACOL2318","SACOL2318","USA300HOU_2305","USA300HOU_2305",1.72,3.29,"hypothetical protein"
"Amino acid biosynthesis","CodY","SACOL2349","SACOL2349","USA300HOU_2336","USA300HOU_2336",-0.69,0.62,"TetR family transcriptional regulator"
"Amino acid biosynthesis","CodY","ssaA","SACOL2295","USA300HOU_2285","ssaA",-2.64,0.16,"secretory antigen SsaA"
"Amino acid biosynthesis","CodY","steT ilvA1 ald","SACOL1477","USA300HOU_1375","ilvA1",-2.51,0.18,"threonine ammonia-lyase"
"Amino acid biosynthesis","CodY","steT ilvA1 ald","SACOL1478","USA300HOU_1376","ald",-3.05,0.12,"alanine dehydrogenase"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1403","USA300HOU_1302","trpE",0.16,1.12,"anthranilate synthase component I"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1404","USA300HOU_1303","trpG",-0.18,0.88,"anthranilate synthase component II"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1405","USA300HOU_1304","trpD",0.57,1.49,"anthranilate phosphoribosyltransferase"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1406","USA300HOU_1305","trpC",1.49,2.8,"indole-3-glycerol-phosphate synthase"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1407","USA300HOU_1306","trpF",1.7,3.26,"N-(5'-phosphoribosyl)anthranilate isomerase"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1408","USA300HOU_1307","trpB",1.12,2.18,"tryptophan synthase subunit beta"
"Amino acid biosynthesis","CodY","trpE trpG trpD trpC trpF trpB trpA","SACOL1409","USA300HOU_1308","trpA",0.37,1.29,"tryptophan synthase subunit alpha"
"Amino acid utilization","HisR","hisC","SACOL0784","USA300HOU_0747","hisC",2.2,4.61,"histidinol-phosphate aminotransferase"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2696","USA300HOU_2673","hisI",1.27,2.41,"bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2697","USA300HOU_2674","hisF",1.02,2.02,"imidazole glycerol phosphate synthase subunit HisF"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2698","USA300HOU_2675","hisA",1.12,2.18,"1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2699","USA300HOU_2676","hisH",1.11,2.16,"imidazole glycerol phosphate synthase subunit HisH"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2700","USA300HOU_2677","hisB",1.37,2.59,"imidazoleglycerol-phosphate dehydratase"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2701","USA300HOU_2678","hisC",1.47,2.77,"histidinol-phosphate aminotransferase"
"Amino acid utilization","HisR","hisI hisF hisA hisH hisB hisC hisD hisG hisZ","SACOL2702","USA300HOU_2679","hisD",0.93,1.91,"histidinol dehydrogenase"
"Ammonium biosynthesis","ArcR","arcCDBA","SACOL2654","USA300HOU_2632","arcC",0.13,1.1,"carbamate kinase"
"Ammonium biosynthesis","ArcR","arcCDBA","SACOL2655","USA300HOU_2633","arcD",2.17,4.5,"APC family amino acid-polyamine-organocation transporter"
"Ammonium biosynthesis","ArcR","arcCDBA","SACOL2656","USA300HOU_2634","arcB",1.66,3.17,"ornithine carbamoyltransferase"
"Ammonium biosynthesis","ArcR","arcCDBA","SACOL2657","USA300HOU_2635","arcA",0.84,1.79,"arginine deiminase"
"Ammonium biosynthesis","ArgR","argBJCD","SACOL0167","USA300HOU_0195","argB",-1.22,0.43,"acetylglutamate kinase"
"Ammonium biosynthesis","ArgR","argBJCD","SACOL0168","USA300HOU_0196","argJ",-1.27,0.41,"glutamate N-acetyltransferase"
"Ammonium biosynthesis","ArgR","argBJCD","SACOL0169","USA300HOU_0197","argC",-1.41,0.38,"N-acetyl-gamma-glutamyl-phosphate reductase"
"Ammonium biosynthesis","ArgR","argBJCD","SACOL0170","USA300HOU_0198","argD",-1.13,0.46,"ornithine--oxo-acid transaminase"
"Ammonium biosynthesis","ArgR","argH argG","SACOL0963","USA300HOU_0919","argH",2.63,6.17,"argininosuccinate lyase"
"Ammonium biosynthesis","ArgR","argH argG","SACOL0964","USA300HOU_0920","argG",1.91,3.76,"argininosuccinate synthase"
"Ammonium biosynthesis","ArgR","artQM","SACOL1915","USA300HOU_1852","artQ",0.93,1.9,"glutamate ABC transporter,  ATP-binding protein"
"Ammonium biosynthesis","ArgR","artQM","SACOL1916","USA300HOU_1853","artM",0.55,1.46,"amino acid ABC transporter, membrane protein"
"Ammonium biosynthesis","ArgR","cudT","SACOL2632","USA300HOU_2610","cudT",-3.72,0.08,"BCCT family betaine/carnitine/choline transporter"
"Ammonium metabolism","FruR","deoR","SACOL0757","USA300HOU_0721","deoR",3.15,8.9,"DeoR family transcriptional regulator"
"Ammonium metabolism","FruR","fruAB","SACOL0758","USA300HOU_0722","fruB",4.51,22.8,"1-phosphofructokinase"
"Ammonium metabolism","GlnR","glnRA","SACOL1328","USA300HOU_1239","glnR",-0.89,0.54,"glutamate--ammonia ligase repressor"
"Ammonium metabolism","GlnR","glnRA","SACOL1329","USA300HOU_1240","glnA",-0.52,0.7,"glutamate--ammonia ligase"
"Antibiotics resistance ","VraSR","glxK SACOL2436","SACOL2435","USA300HOU_2418","glxK",-0.63,0.65,"glycerate kinase"
"Antibiotics resistance ","VraSR","glxK SACOL2436","SACOL2436","USA300HOU_2419","USA300HOU_2419",-0.41,0.75,"hypothetical protein"
"Antibiotics resistance ","VraSR","gvpP","SACOL1895","USA300HOU_1831","gvpP",1.79,3.46,"gas vesicle protein"
"Antibiotics resistance ","VraSR","proP","SACOL0620","USA300HOU_0567","proP",-0.77,0.59,"MFS family major facilitator transporter, proline/betaine:cation symporter"
"Antibiotics resistance ","VraSR","prsA","SACOL1897","USA300HOU_1833","prsA",0.67,1.6,"peptidylprolyl isomerase"
"Antibiotics resistance ","VraSR","SACOL1896","SACOL1896","USA300HOU_1832","USA300HOU_1832",-1.72,0.3,"hypothetical membrane protein"
"Antibiotics resistance ","VraSR","SACOL2571","SACOL2571","USA300HOU_2551","USA300HOU_2551",0.75,1.68,"hypothetical protein"
"Antibiotics resistance ","VraSR","sgtB","SACOL1932","USA300HOU_1869","sgtB",-0.76,0.59,"monofunctional glycosyltransferase"
"Antibiotics resistance ","VraSR","vraABC SACOL0624","SACOL0621","USA300HOU_0568","vraA",-2.45,0.18,"long-chain-fatty-acid--CoA ligase"
"Antibiotics resistance ","VraSR","vraABC SACOL0624","SACOL0622","USA300HOU_0569","vraB",-1.54,0.34,"acetyl-CoA C-acetyltransferase"
"Antibiotics resistance ","VraSR","vraABC SACOL0624","SACOL0623","USA300HOU_0570","vraC",-2.3,0.2,"hypothetical protein"
"Antibiotics resistance ","VraSR","vraABC SACOL0624","SACOL0624","USA300HOU_0571","USA300HOU_0571",-1.65,0.32,"hypothetical protein"
"Antibiotics resistance ","VraSR","vraRSTU","SACOL1942","USA300HOU_1880","vraR",0.92,1.89,"response regulator VraR"
"Antibiotics resistance ","VraSR","vraRSTU","SACOL1943","USA300HOU_1881","vraS",0.83,1.78,"sensor histidine kinase VraS"
"Antibiotics resistance ","VraSR","vraRSTU","SACOL1944","USA300HOU_1882","vraT",0.73,1.66,"hypothetical membrane protein"
"Antibiotics resistance ","VraSR","vraRSTU","SACOL1945","USA300HOU_1883","vraU",0.47,1.39,"hypothetical protein"
