# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "reference/GCF_000013465.1_ASM1346v1_genomic.gff" "-o" "counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "-p" "-T" "4" "alignments/C1.sorted.bam" "alignments/C2.sorted.bam" "alignments/C3.sorted.bam" "alignments/E1.sorted.bam" "alignments/E2.sorted.bam" "alignments/E3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C1.sorted.bam	alignments/C2.sorted.bam	alignments/C3.sorted.bam	alignments/E1.sorted.bam	alignments/E2.sorted.bam	alignments/E3.sorted.bam
SAUSA300_RS00010	NC_007793.1	544	1905	+	1362	15020	8767	23061	8305	7172	8473
SAUSA300_RS00015	NC_007793.1	2183	3316	+	1134	12550	7249	15855	11403	11536	11126
SAUSA300_RS00020	NC_007793.1	3697	3942	+	246	1856	1110	3390	1560	1992	1850
SAUSA300_RS00025	NC_007793.1	3939	5051	+	1113	12042	6963	17081	7592	8095	7817
SAUSA300_RS00030	NC_007793.1	5061	6995	+	1935	24170	12518	27366	14229	16029	14603
SAUSA300_RS00035	NC_007793.1	7032	9695	+	2664	31015	16355	36684	18172	22464	17736
SAUSA300_RS00040	NC_007793.1	9782	10594	-	813	4064	2347	7931	799	597	781
SAUSA300_RS00045	NC_007793.1	10920	12434	+	1515	620	345	964	576	559	480
SAUSA300_RS00050	NC_007793.1	12813	14099	+	1287	2374	1578	4508	2283	2110	1931
SAUSA300_RS00055	NC_007793.1	14749	15444	+	696	765	554	1375	343	217	210
SAUSA300_RS00060	NC_007793.1	15441	15770	+	330	393	258	769	217	149	187
SAUSA300_RS00065	NC_007793.1	16133	17101	+	969	1317	796	1742	862	698	728
SAUSA300_RS00070	NC_007793.1	17392	18330	+	939	5930	3250	7090	3645	2950	3533
SAUSA300_RS00075	NC_007793.1	18345	20312	+	1968	25347	13307	32047	12643	11120	12922
SAUSA300_RS00080	NC_007793.1	20309	20755	+	447	6282	3633	8487	3905	3667	3872
SAUSA300_RS00085	NC_007793.1	20787	22187	+	1401	16727	9069	23711	9638	8966	10048
SAUSA300_RS00090	NC_007793.1	22465	23748	+	1284	18993	10572	16486	613	707	515
SAUSA300_RS00095	NC_007793.1	24178	24252	+	75	50	12	58	2	2	2
SAUSA300_RS00100	NC_007793.1	24260	24332	+	73	38	10	59	2	0	3
SAUSA300_RS00105	NC_007793.1	24952	25653	+	702	2868	1788	4150	4387	4040	4104
SAUSA300_RS00110	NC_007793.1	25666	27492	+	1827	7687	4125	9070	10262	10625	10037
SAUSA300_RS00115	NC_007793.1	27485	28819	+	1335	7365	4091	8414	9159	9357	8987
